RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
202339|||4313|||81590|0|6396|0||18951||161350|140242|10500|107333|0|0|0|375990|21108|||||||||||50374|20070|23440
223111|||0||||||||||21597|0|0|510|0|||2224|0|||||||||||12444||225
218972|||0||||||||||0|3664|0|0|0|||4035|2239|||||||||||54539||0
220344|||2492||||||||||0|0|0|900|0|||1946|0|||||||||||446||15948
203779|||105||||||||||0|24390|0|0|0|||9038|6151|||||||||||3468||2910
209683|||1600||||||||||3605|60942|3033|0|0|||27736|8363|||||||||||83505||2500
195416|||0||||||||||3562|602|0|0|0|||0|0|||||||||||10212||5200
193955|||969||||||||||0|0|0|0|0|||6260|0|||||||||||1692||0
191775|||965||||||||||7650|6434|0|0|0|||6346|1998|||||||||||4069||0
196840|||1424||||||||||46563|19000|0|0|0|||16097|4003|||||||||||5153||1575
194822|||100||||||||||10598|5980|0|4600|0|||1078|0|||||||||||5186||0
201330|||595||||||||||26175|31436||1540||||6452|4014|||||||||||1554||4887
182444|||1000||||||||||12637|4663|0|0|0|||32110|0|||||||||||3900||425
195190|||3947||||||||||46620|160|0|0|0|||22281|5221|||||||||||7397||0
196087|||2841||||||||||0|10395|0|0|0|||19049|9399|||||||||||1823||285
200108|||500||||||||||2064|11329|||500|||564753||||||||||||9901||
269796|||0||||||||||5288|5871|0|448|0|||3398|1687|||||||||||510||0
