OID|DESCRIPTION|AMOUNT|RPT_ID
18272|SECURITY DEPOSIT|3913|317616
17671|PAYROLL WITHHOLDINGS PAYABLE|3354|315081
8428|PAYROLL WITHHOLDINGS|3727|297076
8398|DEATH BENEFIT FUND|60633|296772
9271|Payroll Tax Liabilities|9942|299301
18268|Per Capita|60725|317610
18270|Payroll Taxes|38785|317610
18269|Benefits|26530|317610
14689|ACCRUED VACATION|2264|312878
17088|Payroll Tax Withholding|3597|314742
17089|Payroll Savings Withheld|1380|314742
14670|PE CAPITA TAX|39929|312870
14672|FEDERAL UNEMPLOYMENT|489|312870
14671|MESC|447|312870
15182|Payroll withholding deductions(includes P/R Taxes)|37158|313475
15185|Accrued per capita payable|375000|313475
15184|Accrued building expenses|250084|313475
15183|Accrued rebates due Affilited Locals|18996|313475
29687|N/A|0|358438
11788|Payroll liabilities|708|308124
16596|Employment Taxes|2777|314402
16600|Federal Unemployment Tax|59|314402
16599|State Unemployment Tax|82|314402
16598|County Taxes|82|314402
16597|State Taxes|329|314402
17511|None|0|314839
10679|Payroll withholdings payable|1293|302810
17590|ACCRUED POST RETIREMENT BENEFIT|1945508|314868
17605|ACCRUED VACATION & SICK LEAVE & PENSION|1724775|314868
17604|INITIATION FEE|273|314868
17603|REFUND|3462|314868
17602|RENTAL DEPOSITS|6052|314868
17601|INSURANCE & OTHER CONTRACTS|7720|314868
17600|AFSCME PEOPLE|4267|314868
17599|PAC FUND|5295|314868
17598|RSC|9341|314868
17597|MEDICAL, LIFE, MAF, CANCER|2786|314868
17596|UNIT FUND|10933|314868
17595|STATE RETIREE|2451|314868
17594|DIVISION FUND|3218|314868
17593|ACCRUED INTEREST|7763|314868
17592|PAYROLL TAXES|2760|314868
17591|AFSCME PER CAPITA|108257|314868
11029|Accrued liabilities|56317|303765
11031|Unit Fund balances|4935|303765
11030|Deferred revenue|117632|303765
10180|Payroll taxes payable|3023|301077
10181|Employee benefits|8604|301077
11016|Accrued Payroll Taxes|2916|303700
11491|PAYROLL TAXES WITHHELD|1875|306693
11004|LEGAL DEFENSE FUND - HEMET PD|3971|303648
15299|DEFERRED REVENUE|43299|313535
15301|DUE TO I.B.E.W. LOCAL 234 BUILDING CORP.|4000|313535
15300|CONTRACTOR JOB TARGETING|46750|313535
9469|UNEMITTED PAYROLL TAXES|1036|299529
8891|NONE|0|298874
15662|PAYROLL LIABILITIES|9404|313851
11427|PAYROLL TAXES|1380|306460
12963|Payroll Tax Payable|3754|310382
8215|DUE TO AFFILIATED FUND|44435|295030
8699|STATE AND COUNTY WITHHOLDING|773|298403
12745|Payroll Withholdings|373|310208
9792|Accrued payroll taxes|1569|299849
10400|FUNDS COLLECTED ON BEHALF OF AFFILIATES, BUT NOT|0|301779
10401|YET DISBURSED BY THE END OF THE REPORTING PERIOD.|3023|301779
19722|ACCRUED SEVERANCE PAY|355048|332282
19725|PENSION CONTRIBUTION PAYABLE|7075|332282
19724|UNION DUES PAYABLE|94972|332282
19723|ACCRUED VACATION PAY|44167|332282
16875|PAYROLL TAXES|1076|314583
25811|Payroll Taxes|1446|348999
12311|Mo. Dept. of Revenue|378|309461
12309|December 941|1307|309461
12312|Mo. Division of Employment Security|167|309461
12310|Fourth Quarter 940|74|309461
19244|TAXES W/H|418|330149
10598|ACCRUED PERSONNEL COSTS|638816|302346
10606|RETIREE MEDICAL ACCRUAL|27856690|302346
10605|VACATION AND SICK ACCRUAL|7923267|302346
10604|LSA EDUCATION LEAVE|75086|302346
10603|PSA EDUCATION LEAVE|77310|302346
10602|RESERVE FOR HEAT USA GRANTS|1821|302346
10601|DEFERRED RENTAL LIABILITY|1067735|302346
10600|RESERVE FOR MEDICAL CLAIMS|492000|302346
10599|DEFERRED INCOME|150680|302346
11868|ACRUED PAYROLL TAXES|2554|308415
10981|PAYROLL TAXES|5153|303633
10983|CREDIT CARDS|1180|303633
10982|DEDUCTED WORK ASSEMENTS|304|303633
13487|Payroll withholdings|1300|311015
17961|FEDERAL 941 TAXES|3488|315648
17967|MICHIGAN WITHHOLDINGS LATE PAYMENT CHARGE|145|315648
17966|PERCAPITA TAXES UAW CAP COUNCILS|331|315648
17965|PERCAPITA TAXES INTERNATIONAL UNION|11024|315648
17964|MICHIGAN WHITHHOLDING TAXES|1778|315648
17963|MICHIGAN UNEMPLOYMENT TAXES|117|315648
17962|FEDERAL 940 TAXES|601|315648
18407|Payroll Tax Withholding|4003|320675
11758|PAYROLL LIABILITIES|1819|308098
9667|Deferred Income|51830|299716
9672|Payroll Tax Payable|36324|299716
9671|Accumulated Postretirement Benefit|14989680|299716
9670|Accrued Severance Pay|2386007|299716
9669|Objectors Payable|6748|299716
9668|Other Payroll Withholding|36811|299716
17829|HERE PENSION FUND|78089|315264
