OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
117958|1103|0|0|0|0|379946
117962|1105|0|0|0|0|379946
117961|1102|0|0|0|0|379946
117960|1104|0|0|0|0|379946
117959|1101|0|0|0|0|379946
125792|1103|0|Member|$41.00|$143.50|383847
125796|1105|0|Event|$2.00|$22.50|383847
125795|1102|0
0|N/A
N/A|0
0|0
0|383847
125794|1104|0|Member|0|$0.25|383847
125793|1101|0
0
0|Week
Month|$5.48
$21.50|$11.53
$42.56|383847
123665|1103|0|0|0|0|382942
123669|1105|0|0|0|0|382942
123668|1102|0|0|0|0|382942
123667|1104|0|0|0|0|382942
123666|1101|0|0|0|0|382942
135201|1103|N/A|N/A|N/A|N/A|393787
135205|1105|N/A|N/A|N/A|N/A|393787
135204|1102|N/A|N/A|N/A|N/A|393787
135203|1104|N/A|N/A|N/A|N/A|393787
135202|1101|$45.00|month|N/A|N/A|393787
130889|1103|17.65|New Member|||385246
130893|1105|||||385246
130892|1102|||||385246
130891|1104|||||385246
130890|1101|32.90|Month|||385246
123850|1103|N/A|N/A|N/A|N/A|383009
123854|1105|N/A|N/A|N/A|N/A|383009
123853|1102|N/A|N/A|N/A|N/A|383009
123852|1104|N/A|N/A|N/A|N/A|383009
123851|1101|N/A|N/A|N/A|N/A|383009
125562|1103|$20|One time|||383787
125566|1105|||||383787
125565|1102|||||383787
125564|1104|||||383787
125563|1101|2 Straight-time hours|month|1.4%|2 Straight-time hours|383787
121516|1103|30||||382062
121520|1105|||||382062
121519|1102|||||382062
121518|1104|||||382062
121517|1101|15.70-19.00|WEEK|15.70|19.00|382062
121731|1103|500.00|NONE|NONE|NONE|382224
121735|1105|NONE|NONE|NONE|NONE|382224
121734|1102|NONE|HOUR|.54|.75|382224
121733|1104|NONE|NONE|NONE|NONE|382224
121732|1101|NONE|MONTH|10.00|30.00|382224
115676|1103|||||378620
115680|1105|||||378620
115679|1102|||||378620
115678|1104|||||378620
115677|1101|23.07|Pay Period|||378620
136598|1103|||||399311
136602|1105|||||399311
136601|1102|||||399311
136600|1104|||||399311
136599|1101|23.34|Pay Period|||399311
126835|1103|0||0|0|384163
126839|1105|0||0|0|384163
126838|1102|0||0|0|384163
126837|1104|0||0|0|384163
126836|1101|22.27|bi-weekly|0|0|384163
119644|1103|N/A|N/A|N/A|N/A|380946
119648|1105|N/A|N/A|N/A|N/A|380946
119647|1102|N/A|N/A|N/A|N/A|380946
119646|1104|N/A|N/A|N/A|N/A|380946
119645|1101|22.00|PAY PERIOD|N/A|N/A|380946
99030|1103|n/a||||361034
99034|1105|n/a||||361034
99033|1102|n/a||||361034
99032|1104|n/a||||361034
99031|1101|25.06|bi-weekly|||361034
122662|1103|||||382595
122666|1105|||||382595
122665|1102|||||382595
122664|1104|||||382595
122663|1101|22.14|Bi-weekly|||382595
109514|1102|||||371085
109513|1104|||||371085
109512|1101|2|MONTH|5|80|371085
109511|1103|||||371085
109515|1105|||||371085
129912|1103|none|year|||384922
129916|1105|none|year|||384922
129915|1102|none|year|||384922
129914|1104|none|year|||384922
129913|1101|various|year|540.02|553.02|384922
132303|1103|NA|NA|||385531
132307|1105|NA|NA|||385531
132306|1102|SEE ITEM 69|SEE ITEM 69|||385531
132305|1104|NA|NA|||385531
132304|1101|SEE ITEM 69|SEE ITEM 69|||385531
114070|1103|N/A|N/A|N/A|N/A|376953
114074|1105|N/A|N/A|N/A|N/A|376953
114073|1102|N/A|N/A|N/A|N/A|376953
114072|1104|N/A|N/A|N/A|`N/A|376953
114071|1101|N/A|MONTH|0|42|376953
114502|1103|0||||377428
114506|1105|0||||377428
114505|1102|0||||377428
114504|1104|0||||377428
114503|1101|$21.82|Bi-weekly|||377428
135866|1103|0|Bi-weekly|0|0|396223
135870|1105|0|Bi-weekly|0|0|396223
135869|1102|20.88|Bi-weekly|0|0|396223
135868|1104|0|Bi-weekly|0|0|396223
135867|1101|0|Bi-weekly|0|0|396223
118537|1103|||||380335
118541|1105|||||380335
118540|1102|||||380335
118539|1104|||||380335
118538|1101|45.85|MONTH|||380335
122344|1103|$375-$700||$375|$700|382441
122348|1105|3%|GROSS
WAGES|||382441
122347|1102|NONE||||382441
122346|1104|$375-$700||$375|$700|382441
122345|1101|$70|QTR.|$70|$70|382441
107706|1103|0||||369056
107710|1105|0||||369056
107709|1102|0||||369056
107708|1104|0||||369056
107707|1101|365|YEAR|77|365|369056
131613|1103|N/A|N/A|N/A|N/A|385391
131617|1105|N/A|N/A|N/A|N/A|385391
131616|1102|N/A|N/A|N/A|N/A|385391
131615|1104|N/A|N/A|N/A|N/A|385391
131614|1101|N/A|N/A|$42.00 PER YEAR|$18.50 PER MONTH|385391
145685|1103|||||407443
145689|1105|||||407443
145688|1102|||||407443
145687|1104|||||407443
145686|1101|$42/$468|year|42|468|407443
135446|1103|n/a|n/a|||394334
135450|1105|n/a|n/a|||394334
135449|1102|n/a|n/a|||394334
135448|1104|n/a|n/a|||394334
135447|1101|n/a|n/a|||394334
118856|1103|||||380484
118860|1105|||||380484
118859|1102|||||380484
118858|1104|||||380484
118857|1101|14-16|PAY|14|16|380484
117425|1103|0|N/A|N/A|N/A|379503
117429|1105|N/A|N/A|N/A|N/A|379503
117428|1102|0|N/A|N/A|N/A|379503
117427|1104|0|N/A|N/A|N/A|379503
117426|1101|11.07|MONTH|N/A|N/A|379503
170429|1103|0||||433813
170433|1105|0||||433813
170432|1102|0||||433813
170431|1104|0||||433813
170430|1101|13.00|pay period|||433813
125867|1103|||||383866
125871|1105|||||383866
125870|1102|||||383866
125869|1104|||||383866
125868|1101|11.00/13.25|Bi-weekly|||383866
106387|1103|||||368748
106391|1105|||||368748
106390|1102|||||368748
106389|1104|||||368748
106388|1101|17.65|BI-WEEKLY|||368748
126201|1103|||||383940
126205|1105|||||383940
126204|1102|||||383940
126203|1104|||||383940
126202|1101|11-13|bi-weekly|||383940
145092|1103|||||406775
145096|1105|||||406775
145095|1102|$884.00|YEAR||X|406775
145094|1104|||||406775
145093|1101|$25.00|YEAR|X||406775
135841|1103|||||395997
135845|1105|||||395997
135844|1102|||||395997
135843|1104|||||395997
135842|1101|18.55|Pay Period|24.60 Per Year|18.55 Per Pay Period|395997
113493|1103|2.00||||375967
113497|1105|||||375967
113496|1102|||||375967
113495|1104|||||375967
113494|1101|482.30|YEAR|||375967
107131|1103|||||368941
107135|1105|||||368941
107134|1102|||||368941
107133|1104|||||368941
107132|1101|1.16% OF INCOME|MONTH|||368941
142892|1103|$2,000|ONE-TIME|||403909
142896|1105|||||403909
142895|1102|||||403909
142894|1104|||||403909
142893|1101|$780|YEAR|||403909
116491|1103|||||379044
116495|1105|||||379044
116494|1102|||||379044
116493|1104|||||379044
116492|1101|24.63|26 biweekly pay peri|||379044
117303|1103|0||||379478
117307|1105|0||||379478
117306|1102|0||||379478
117305|1104|0||||379478
117304|1101|0|week|18|29|379478
134213|1103|||||391316
134217|1105|||||391316
134216|1102|||||391316
134215|1104|||||391316
134214|1101|11.10|week|||391316
130601|1103|N/A||||385173
130605|1105|N/A||||385173
130604|1102|N/A||||385173
130603|1104|N/A||||385173
130602|1101|23.67|MONTH|||385173
121606|1103|||||382175
121610|1105|||||382175
121609|1102|||||382175
121608|1104|||||382175
121607|1101|2 HOURS STRAIGHT|MONTH|||382175
130481|1103|||||385114
130485|1105|||||385114
130484|1102|||||385114
130483|1104|||||385114
130482|1101|49.40|Month|||385114
123978|1103|0|0|0|0|383259
123982|1105|0|0|0|0|383259
123981|1102|0|0|0|0|383259
123980|1104|0|0|0|0|383259
123979|1101|23.90|BI
WEEKLY|23.90|23.90|383259
137552|1103|||||401288
137556|1105|||||401288
137555|1102|||||401288
137554|1104|||||401288
137553|1101|1%|ANNUAL SALARY|||401288
134105|1103|||||391047
134109|1105|||||391047
134108|1102|||||391047
134107|1104|||||391047
134106|1101|20.15|month|||391047
131538|1103|||||385376
131542|1105|||||385376
131541|1102|||||385376
131540|1104|||||385376
131539|1101|30.00|month|||385376
115164|1103|$25.00|One Time|||378051
115168|1105|||||378051
115167|1102|||||378051
115166|1104|||||378051
115165|1101|$0.50 to $1.00|Month|H/R X(1.25%)X(173)|H/R X (1.50%)|378051
134130|1103|10.00||||391128
134134|1105|||||391128
134133|1102|||||391128
134132|1104|||||391128
134131|1101|1.3%+.05|MONTH|||391128
133942|1103|||||390678
133946|1105|||||390678
133945|1102|||||390678
133944|1104|||||390678
133943|1101|25/31|Month|25|31|390678
125857|1103|||||383864
125861|1105|||||383864
125860|1102|||||383864
125859|1104|||||383864
125858|1101|32.50|MONTH|||383864
132223|1103|||||385515
132227|1105|||||385515
132226|1102|||||385515
132225|1104|||||385515
132224|1101|24.62|bi-weekly|||385515
109211|1103|0|N/A|225|300|370477
109215|1105|0|N/A|||370477
109214|1102|0|N/A


N/A|||370477
109213|1104|0|N/A|||370477
109212|1101|0|MONTH|18|26|370477
113265|1103|||||375673
113269|1105|||||375673
113268|1102|||||375673
113267|1104|||||375673
113266|1101|1.35|MEMBER|1.26|1.35|375673
135361|1103|$25.00||||394243
135365|1105|0||||394243
135364|1102|0||||394243
135363|1104|0||||394243
135362|1101|$9.55 to $39.20|MONTH|$9.55|$39.20|394243
119365|1103|||||380801
119369|1105|||||380801
119368|1102|||||380801
119367|1104|||||380801
119366|1101|1.5% + .03|Hour|||380801
134821|1103|||||392781
134825|1105|||||392781
134824|1102|||||392781
134823|1104|||||392781
134822|1101|15.35|week|7.68|15.35|392781
130386|1103|500.00|At initiation|100.00|500.00|385070
130390|1105|None|None|None|None|385070
130389|1102|1%|Month|1%|3%|385070
130388|1104|None|None|None|None|385070
130387|1101|35.50|Month|12.50|58.40|385070
125887|1103|40|INITIATION|40|1000|383870
125891|1105|0||||383870
125890|1102|0||||383870
125889|1104|0||||383870
125888|1101|1.07
1.10
1.14|HOUR|.53|1.14|383870
134891|1103|0||||393010
134895|1105|0||||393010
134894|1102|10||||393010
134893|1104|0||||393010
134892|1101|1.45%+.02p/hr|month|||393010
111432|1103|33.78 AVG.||22.86|37.78|373060
111436|1105|||||373060
111435|1102|||||373060
111434|1104|||||373060
111433|1101|33.78 AVG.|MONTH|22.86|37.78|373060
110199|1103|||||371935
110203|1105|||||371935
110202|1102|||||371935
110201|1104|||||371935
110200|1101|3.63 - 14.50|MONTH|3.63|14.50|371935
133787|1103|||||389986
133791|1105|||||389986
133790|1102|||||389986
133789|1104|||||389986
133788|1101|36.35|month|16.40|36.35|389986
152197|1103|50|N/A|||415243
152201|1105|N/A|N/A|||415243
152200|1102|$.53-$1.57|HOUR|||415243
152199|1104|50|N/A|||415243
152198|1101|$15-$55|MONTH|||415243
149068|1103|||||412107
149072|1105|||||412107
149071|1102|||||412107
149070|1104|||||412107
149069|1101|.0115|year|.009775|.0115|412107
115369|1103|||||378391
115373|1105|||||378391
115372|1102|||||378391
115371|1104|||||378391
115370|1101|18.00/
42.00|Bi-weekly/
Yearly|||378391
114979|1103|125||||377784
114983|1105|||||377784
114982|1102|||||377784
114981|1104|||||377784
114980|1101|105|Month|||377784
125672|1103|5|INITIAL|||383813
125676|1105|0||||383813
125675|1102|0|MONTH|||383813
125674|1104|0||||383813
125673|1101|4|MONTH|||383813
120184|1103|500.00|once|||381134
120188|1105|0||||381134
120187|1102|0||||381134
120186|1104|0||||381134
120185|1101|47.00|month|13.00|47.00|381134
113941|1103|N/A|N/A|N/A|N/A|376804
113945|1105|N/A|N/A|N/A|N/A|376804
113944|1102|N/A|N/A|N/A|N/A|376804
113943|1104|N/A|N/A|N/A|N/A|376804
113942|1101|1.4%|MONTH|NONE|NONE|376804
134347|1103|$500|year|||391829
134351|1105|$80|year|||391829
134350|1102|||||391829
134349|1104|||||391829
134348|1101|5%|gross|||391829
105129|1103|25.00|unit|25.00|25.00|368361
105133|1105|0|0|0|0|368361
105132|1102|0|0|0|0|368361
105131|1104|0|0|0|0|368361
105130|1101|22.00|month|8.00|29.00|368361
110823|1103|0|MONTH|||372596
110827|1105|0|MONTH|||372596
110826|1102|0|MONTH|||372596
110825|1104|0|MONTH|||372596
110824|1101|0|MONTH|||372596
120625|1103|various|member|50.00|500.00|381525
120629|1105|none|none|0|0|381525
120628|1102|various|hour|.15|1.39|381525
120627|1104|none|none|0|0|381525
120626|1101|various|month|15.00|37.00|381525
115512|1103|15|ONE TIME|||378526
115516|1105|NONE||||378526
115515|1102|NONE||||378526
115514|1104|NONE||||378526
115513|1101|2 HOURS PAY|MONTH|||378526
107122|1103|350.00|REGISTRATION|||368939
107126|1105|NON||||368939
107125|1102|N/A|HOUR|1.07|1.29|368939
107124|1104|NON||||368939
107123|1101|18.00|MONTH|18.00|30.00|368939
107741|1103|||||369063
107745|1105|||||369063
107744|1102|||||369063
107743|1104|||||369063
107742|1101|21|month|||369063
111457|1103|0|0|0|0|373065
111461|1105|0|0|0|0|373065
111460|1102|0|0|0|0|373065
111459|1104|0|0|0|0|373065
111458|1101|1.15|100|NO|NO|373065
116125|1103|20||||378853
116129|1105|N/A||||378853
116128|1102|N/A|N/A|||378853
116127|1104|N/A||||378853
116126|1101|SEE LINE 69|N/A|||378853
134509|1103|200.00||||392058
134513|1105|NONE||||392058
134512|1102|$ .71 to $1.09|HOUR|$0.71|$1.09|392058
134511|1104|NONE||||392058
134510|1101|$11 to $30|MONTH|$11.00|$30.00|392058
102633|1103|60-300|member|||366567
102637|1105|0||||366567
102636|1102|0||||366567
102635|1104|0||||366567
102634|1101|20|month|||366567
119599|1103|45.00|ON TIME|N/A|N/A|380927
119603|1105|N/A|N/A|N/A|N/A|380927
119602|1102|N/A|N/A|N/A|N/A|380927
119601|1104|N/A|N/A|N/A|N/A|380927
119600|1101|31.40|N/A|N/A|N/A|380927
131418|1103|0|once|7.50|40.00|385352
131422|1105|0|week|||385352
131421|1102|0|week|||385352
131420|1104|0|week|||385352
131419|1101|0|week|4.69|8.82|385352
108171|1103|0|0|60.00|300.00|369189
108175|1105|0|0|0|0|369189
108174|1102|0|0|0|0|369189
108173|1104|0|0|0|0|369189
108172|1101|20.00|MONTH|0|0|369189
110129|1103|$4570|initiation|||371735
110133|1105|||||371735
110132|1102|9%|participant vacation|||371735
110131|1104|||||371735
110130|1101|$100 - $325|quarter|$400|$1300|371735
121427|1103|||||381994
121431|1105|||||381994
121430|1102|||||381994
121429|1104|||||381994
121428|1101|5,000/HC
1,000/ASS|YEAR|1,000|5,000|381994
130496|1103|50||||385118
130500|1105|NONE||||385118
130499|1102|NONE||||385118
130498|1104|NONE||||385118
130497|1101|1.5% of base|MONTHLY|||385118
206186|1101|306.75|year|30.00|306.75|467688
206190|1105|||||467688
206189|1104|||||467688
206188|1103|||||467688
206187|1102|||||467688
135471|1103|0|0|$20|$300|394427
135475|1105|0|0|N/A|N/A|394427
135474|1102|0|0|2%|6%|394427
135473|1104|0|0|$300|$300|394427
135472|1101|0|0|$72|$248|394427
129518|1103|50|one time|0|0|384827
129522|1105|0|0|0|0|384827
129521|1102|0|0|0|0|384827
129520|1104|0|0|0|0|384827
129519|1101|1.56% times  gross pay|+ $10/month|0|0|384827
169148|1103|$10|1-TIME|||431659
169152|1105|0||||431659
169151|1102|0||||431659
169150|1104|0||||431659
169149|1101|2 HOURS|MONTH|||431659
106917|1103|N/A|N/A|100.00|150.00|368892
106921|1105|N/A|N/A|N/A|N/A|368892
106920|1102|3%|Gross Wages|N/A|N/A|368892
106919|1104|35.00|occurrence|N/A|N/A|368892
106918|1101|20.00|month|2.50|20.00|368892
117193|1103|||25.00|200.00|379456
117197|1105|none||||379456
117196|1102|none||||379456
117195|1104|none||||379456
117194|1101|1.95%|airline income|||379456
108523|1103|||20|300|369307
108527|1105|||||369307
108526|1102|||||369307
108525|1104|||70|350|369307
108524|1101|20|month|||369307
137023|1103|150.00|WORKER|150.00|150.00|400509
137027|1105|0||||400509
137026|1102|0.00||||400509
137025|1104|0||||400509
137024|1101|24.00|MONTHLY|24.00|24.00|400509
117713|1103|0|once|5.00|35.00|379774
117717|1105|0||||379774
117716|1102|0||||379774
117715|1104|0||||379774
117714|1101|0|week|6.41|9.48|379774
126465|1103|700|Member|N/A|N/A|384021
126469|1105|N/A|N/A|N/A|N/A|384021
126468|1102|$1.6|Hour|N/A|N/A|384021
126467|1104|N/A|N/A|N/A|N/A|384021
126466|1101|Active $26
Retiree $ 8|Month|N/A|N/A|384021
111632|1103|5.00||||373100
111636|1105|||||373100
111635|1102|||||373100
111634|1104|||||373100
111633|1101|2.25|month|||373100
123355|1103|||||382842
123359|1105|||||382842
123358|1102|||||382842
123357|1104|||||382842
123356|1101|1.25|BI-WEEKLY|||382842
111293|1101|$25.00|month|$6.00|$25.00|373032
111292|1103|$300.00|One-time fee|$60.00|$300.00|373032
111296|1105|N/A|N/A|N/A|N/A|373032
111295|1102|3.5%|N/A|N/A|N/A|373032
111294|1104|N/A|N/A|N/A|N/A|373032
101151|1103|$500.00|ONE TIME|$250.00|$500.00|364031
101155|1105|N/A|N/A|N/A|N/A|364031
101154|1102|5%|GROSS WAGES|5%|5%|364031
101153|1104|N/A|N/A|N/A|N/A|364031
101152|1101|$10.00|MONTH|$5.00|$10.00|364031
120859|1103|Range|Person|200|9224|381579
120863|1105|||||381579
120862|1102|||||381579
120861|1104|||||381579
120860|1101|Range|Year|200|4550|381579
133502|1103|$100||||388579
133506|1105|||||388579
133505|1102|||||388579
133504|1104|||||388579
133503|1101|$30|MONTH|||388579
107651|1103|500|Iniation|||369045
107655|1105|0|0|||369045
107654|1102|0|0|||369045
107653|1104|50|Transfer|||369045
107652|1101|0|Month|10.50|22.15|369045
121826|1103|150||0|0|382268
121830|1105|0||0|0|382268
121829|1102|0|Mo.|0|0|382268
121828|1104|0||0|0|382268
121827|1101|0|Mo.|50|61|382268
129159|1103|10.00|Member|None|None|384709
129163|1105|None|None|None|None|384709
129162|1102|None|None|None|None|384709
129161|1104|None|None|None|None|384709
129160|1101|1.45% of earnings|Month|$5.00|2.8 times avg hrly rate|384709
130391|1103|NA|NA|||385072
130395|1105|NA|NA|||385072
130394|1102|NA|NA|||385072
130393|1104|NA|NA|||385072
130392|1101|NA|NA|||385072
125767|1103|$50.00|new member|$50.00|$100.00|383840
125771|1105|n/a|n/a|n/a|n/a|383840
125770|1102|n/a|n/a|n/a|n/a|383840
125769|1104|n/a|n/a|n/a|n/a|383840
125768|1101|$7.00|member|$7.00|$66.20|383840
130052|1103|10|MBR|5|10|384954
130056|1105|N/A|N/A|N/A|N/A|384954
130055|1102|N/A|N/A|N/A|N/A|384954
130054|1104|N/A|N/A|N/A|N/A|384954
130053|1101|12.42|MONTH|5.00|12.42|384954
113722|1103|500||||376574
113726|1105|||||376574
113725|1102|3%|$1 EARNED|||376574
113724|1104|||||376574
113723|1101|27|MONTH|||376574
106037|1103|BY PROPERTY|NEW MEMBER|75.00|125.00|368653
106041|1105|N/A|N/A|N/A|N/A|368653
106040|1102|N/A|N/A|0|0|368653
106039|1104|N/A|N/A|N/A|N/A|368653
106038|1101|BY PROPERTY|MONTH|23.47|61.91|368653
118931|1103|300||||380499
118935|1105|||||380499
118934|1102|||||380499
118933|1104|||||380499
118932|1101|67.00|MONTH|||380499
113603|1103|1500|Individual|||376474
113607|1105|||||376474
113606|1102|1%|pay period|||376474
113605|1104|||||376474
113604|1101|4%|pay period|||376474
121114|1103|250|one time fee|125|1000|381831
121118|1105|0|NA|0|0|381831
121117|1102|4%|hours worked|4%|4%|381831
121116|1104|0|NA|0|0|381831
121115|1101|25|month|10|25|381831
129483|1103|700||||384820
129487|1105|||||384820
129486|1102|||||384820
129485|1104|||||384820
129484|1101|33|MONTH|||384820
126415|1103|0||15|175|384003
126419|1105|0||||384003
126418|1102|0||||384003
126417|1104|0||||384003
126416|1101|0|Month|14|72|384003
130671|1103|$150|Initiation|N/A|N/A|385193
130675|1105|N/A|N/A|N/A|N/A|385193
130674|1102|N/A|N/A|N/A|N/A|385193
130673|1104|$.50|Transfer|N/A|N/A|385193
