OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
52570||ANDOVER ASSOCIATES, LLC INVESTMENT|400000|400000|394334|394334|448963
47855||Building (814 Airport Boulevard)|242927|121640|0|0|433356
47856||Improvements|30682|91|0|0|433356
49244||Loomis Sayles Bond Fund|125000|135000|135000|135000|435898
49240||Federal Farm Cr Bank, 5.2% Due 4/19/10|49688|50000|50000|50000|435898
49243||SLM Corp 4.5% Due 7/26/10|48917|49863|49863|49863|435898
49242||Gen Electric 4.8% Due 5/1/13|100640|104197|104197|104197|435898
49241||Citigroup Inc 5.10% Due 9/29/11|46691|5269|52869|52869|435898
49251||Federal Home Ln Bnk Due 7/8/19|25230|25000|25000|25000|435898
49250||Federal Home Ln Bnk 3.0% Due 12/28/16|239431|240000|240000|240000|435898
49249||Federal Home Ln Bnk 3.0% Due 10/13/17|139678|140000|140000|140000|435898
49248||Federal Home Ln Bnk 1.25% Due 12/24/12|99895|100000|100000|100000|435898
49247||Federal Home Ln Bnk 2.25% Due 9/15/14|99570|100000|100000|100000|435898
49246||Vanguard Short Term Treasury|131845|138568|138568|138568|435898
49245||Federal Home Ln 5.5% Due 10/19/16|51110|50000|50000|50000|435898
53050||Two automobiles|29800|0|2500|2500|449347
52714||Industrial Development Bk of Israel Stk-3 Shs|3000|3000|4681|4681|449206
52716||Automobiles Sold in Yr-2010|71531|38931|38931|38931|449206
52715||FNMA Principal Received|4680|4680|4680|4680|449206
51888||2004 Chevrolet Impala|17242|799|799|799|446786
54146||MARKETABLE SECURITIES|344261|354322|354322|354322|451145
50653||Mutual Fund|12414|12414|14165|14165|439886
50710||EQUITY AND FIXED INCOME SECURITIES|614025|614025|615065|615065|440137
54526||AUTO - 2002 FORD CROWN VICTORIA|29800|0|2001|2001|451899
48972||CITIZENS BANK MONEY MARKET ACCOUNT|4004|4004|4004|4004|435620
48980||REDEMPTION - INCOME FD OF AMERICA|1507|1507|2000|2000|435620
48979||REDEMPTION - AMERICAN BOND FD OF AMERICA|11270|11270|12918|12918|435620
48978||REDEMPTION - AMERICAN INVESTMENT CO. OF AMERICA|33092|33092|29265|29265|435620
48977||REDEMPTION - AMERICAN INVESTMENT CO. OF AMERICA|33093|33093|29265|29265|435620
48976||REDEMPTION - AMERICAN BOND FD OF AMERICA|8841|8841|10000|10000|435620
48975||REDEMPTION - AMERICAN INVESTMENT CO. OF AMERICA FD|8941|8941|7500|7500|435620
48974||REDEMPTION - AMERICAN GROWTH FD OF AMERICA|6846|6846|7500|7500|435620
48973||REDEMPTION - AMERICAN BOND FIND OF AMERICA, CL. A|13941|13941|15000|15000|435620
49872||MUTUAL FUNDS|83996|83996|101202|101202|436482
52368||N/A|0|0|0|0|448582
52137||FILE CABINETS - 2|300|0|0|0|447895
52138||CANON CALCULATOR|76|0|0|0|447895
49330||JPMorgan 09/29/36|33875|33875|39153|39153|435918
49338||2006 Buick Lacrosse|6952|6952|15508|15508|435918
49337||2006 Buick Lacrosse|6952|6952|15508|15508|435918
49336||FHLMC 3251CA 05/15/36|14332|14332|14327|14327|435918
49335||First Trust REIT Growth & Income|51434|51434|59910|59910|435918
49334||Hartford Small Company|31176|31176|24995|24995|435918
49333||FHLMC 2750 SJ 02/15/34|46247|46247|45350|45350|435918
49332||GSR Mortgage 05/25/34|42758|42758|47291|47291|435918
49331||Ameriprise 06/15/39|23279|23279|24882|24882|435918
53581||Retail Employees Credit Union CD, MMs and Savings|63652|63652|63652|63652|450353
50737||167.973 shs DWS Strategic Gov't Sec Fund-A|1500|1500|1500|1500|440227
50495||US Government and Government Agencies|31070328|31070328|31134933|31134933|439247
50498||Automobiles|886534|319075|211527|211527|439247
50497||Mutual Funds|425836|425836|500000|500000|439247
50496||Corporate Bonds|1496594|1496594|1546478|1546478|439247
51034||None|0|0|0|0|442089
52316||Alliant Energy Corporation Stock|14|14|14|14|448506
52319||2006 Chevy Impala|31080|5180|5180|5180|448506
52318||Iowa Telecommunications Ser Stock|1876|1876|1876|1876|448506
52317||FPL Group Inc. Stock|4996|4996|4996|4996|448506
48826||US Treasuries|2022201|2006003|2006003|2006003|435443
48827||Marketable Securities|2190937|2295629|2295629|2295629|435443
47768||Merrill Lynch - Fifth Third Bank CD|46000|46000|46470|46470|432765
47769||Merrill Lynch - Banco Popular CD|38000|38000|38000|38000|432765
47771||Merrill Lynch - Discover Bank CD|30000|30000|30000|30000|432765
47770||Merrill Lynch - Western Bank CD|45000|45000|45000|45000|432765
55117||2006 DODGE CHARGER|22867|11526|8200|8200|460299
55118||2006 DODGE CHARGER|23389|11734|8450|8450|460299
52717||911,915,917 PINE HILLS ROAD, ORLANDO, FLORIDA|120736|118374|56069|56069|449211
51070||Franklin Funds|5913|5913|5913|5913|442867
51073||Merrill Lynch Money Market Funds|35911|35911|35911|35911|442867
51072||Templeton Growth Funds|21801|21801|21801|21801|442867
51071||Black rock Global|57038|57038|57038|57038|442867
53230||na||||0|449801
47469||None|0|0|0|0|430719
54945||Franklin Funds US Govt Class A SHS|20000|20000|20000|20000|456964
54649||US Securities-Strips-Tint US tr.|60441|60441|56306|56306|452127
54653||Scholarship Fund-Fed Home Loan Mtg|25000|25000|25000|25000|452127
54652||Scholarship Fund-Fed Home Loan Mtg|25000|25000|24500|24500|452127
54651||Scholarship Fund- Bank of Amer Corp|20210|20210|22294|22294|452127
54650||Scholarship Fund - Fed Nat MTG Assoc|55004|55004|61622|62151|452127
51077||LCD Projector purchased  12/06/2000|4562|0|0|0|443056
51078||Sony digital camera purchased 11/21/2001|533|0|0|0|443056
61518||N/A|0|0|0|0|489459
48824||MACHINERY & EQUIPMENT|1361|0|40|40|435436
50244||FHLMC SER 2290|1000|1000|1000|1000|437745
50246||MONEY MARKET|59008|59008|59008|59008|437745
50245||RETURN OF CAPITAL|33113|33113|33113|33113|437745
49229||GATEWAY SOLO 9550 COMPUTER SYSTEM|4111|0|160|160|435883
49234||HP OFFICE JET AIO - OUTDATED/JUNKED|179|5|0|0|435883
49233||GATEWAY 600 COMPUTER SYSTEM - OUTDATED/JUNKED|4753|0|0|0|435883
49232||GATEWAY 600 COMPUTER SYSTEM - OUTDATED/JUNKED|4753|0|0|0|435883
49231||OVERHEAD PROJECTOR - OUTDATED/JUNKED|425|0|0|0|435883
49230||GATEWAY 600XL LAPTOP COMPUTER SYSTEM|3446|0|150|150|435883
47667||American Century Target Fund|7560|7560|7560|7560|431110
50295||INVESTMENTS|1403267|1403267|1390771|1390771|438007
53525||SALE OF VARIOUS MUTUAL FUNDS #3659|78679|78679|78679|78679|450242
53524||SALE OF AUTOMOBILE|20300|0|7425|7425|450242
53526||SALE OF VARIOUS COMMON STOCKS #3640|132198|132198|132198|132198|450242
49829||NONE|0|0|0|0|436457
52681||NONE|0|0|0|0|449187
52536||1505 11TH STREET NW, WASHINGTON, DC 20001-3215|2500|677120|395762|318830|448919
51652||NONE|0|0|0|0|445434
54991||US Government & Agency Bonds|114772|114772|118263|118263|457598
54993||Mutual Funds|276081|276081|271940|271940|457598
54992||Corporate Managed Bonds|352174|352174|341090|341090|457598
54371||MUTUAL FUNDS|8237244|8237244|6920108|6920108|451443
50771||NTEU Treasury|196756|198690|199205|199205|440326
50776||Computer Equipment Disposal|8173|8173|0|0|440326
