OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
197944|1201|ROYALTIES|2009-09-16|40911|710888|429855
204986|1201|"|2009-11-10|9120|737876|436347
204987|1201|"|2009-12-04|7920|737876|436347
204988|1201|"|2010-01-06|6840|737876|436347
204989|1201|"|2010-02-01|5880|737876|436347
204990|1201|"|2010-03-15|8640|737876|436347
204991|1201|"|2010-04-22|6840|737876|436347
204992|1201|"|2010-04-30|9240|737876|436347
204993|1201|"|2010-05-24|7080|737876|436347
226616|1201|NA|2010-04-27|10000|793439|448031
238950|1201| |||834860|451985
226617|1201|NA|2010-06-08|7875|793440|448031
207818|1201|N/A|2010-06-30|0|747193|437006
240768|1201|WWE|2010-12-26|29193|839530|452332
240808|1201|PBR|2010-02-16|10614|839545|452332
240809|1201|FFA|2010-02-26|10399|839545|452332
220983|1201|REIMBURSEMENT OF JOINT ADMIN EXP.|2010-05-24|7741|778138|441265
223108|1201|Reimbursed organizing expense|2010-01-21|10419|783723|445538
168655|1201|REIMBURSEMENT FOR SHARED EXPENSES|2009-08-18|23410|615002|405878
168656|1201|REIMBURSEMENT FOR ADMIN. SERVICES|2009-07-07|7199|615003|405878
208130|1201|ORGANIZING GRANT|2009-09-04|7940|749063|438268
197892|1201|PLAYER MARKETING|2010-02-19|52500|710863|429855
208637|1201|ORGANIZING|2010-05-25|26667|751410|439010
197893|1201|PLAYER MARKETING|2009-04-08|7347|710863|429855
232576|1201|REBATE/AUGUST|2010-10-12|16338|811929|450183
197894|1201|PLAYER MARKETING|2009-05-13|7438|710863|429855
197895|1201|ROYALTIES|2009-04-08|6437|710864|429855
197896|1201|REIMBURSED EXPENSES|2010-01-08|6140|710865|429855
197897|1201|PLAYER MARKETING|2009-11-03|42500|710866|429855
197898|1201|REFUND OVERPAYMENT|2009-12-22|54515|710867|429855
197899|1201|REIMBURSMENT|2009-05-01|5233|710871|429855
241562|1201|EXPENSES|2010-08-31|10000|842685|452827
197900|1201|PLAYER MARKETING|2009-10-01|8340|710873|429855
201896|1201|MEMBER BENEFITS|2009-07-27|32796|727174|434164
201897|1201|MEMBERSHIP MATERIALS|2009-10-05|12336|727174|434164
241563|1201|EXPENSES|2010-09-30|20000|842685|452827
241564|1201|EXPENSES|2010-11-30|7000|842685|452827
201898|1201|ORGANIZING GRANT|2010-06-17|20000|727174|434164
201899|1201|STUDENT REBATE|2010-06-21|5359|727174|434164
241566|1201|TAX REFUND|2010-08-23|130|842711|452829
201900|1201|UNISERV FUNDING|2010-01-22|846641|727174|434164
