RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
482785|0||32050|15620|0|0|4417|8654|
496493|0|0|0|0|0|0|0|0|0
492562|0|0|0|0|0|0|0|0|0
497215|0|0|0|0|0|0|0|0|0
492168|6904|0|0|0|0|0|0|0|
489015|0|0|0|0|0|0|0|0|
473779|0|0|0|0|0|0|0|0|0
492811|0|0|0|0|0|0|0|0|0
523744|0|0|0|0|0|0|0|0|0
491658|0|0|0|0|0|0|0|0|0
497634|0|0|0|0|0|0|0|0|0
493236|6464|0|0|0|0|0|0|0|6464
474663|0|0|0|0|0|0|0|0|0
496068|||||||||
458786|0|0|0|0|0|0|0|0|0
489049|0|189|0|0|0|0|0|0|0
494248|||||||2007|2007|2007
493177|0|0|0|0|0|0|0|0|0
489111|0|0|0|0|0|0|0|0|
495173|||||||||0
493367|0|0|0|0|0|0|0|0|0
472372|0|0|0|0|0|0|0|0|0
492972|0|0|0|0|0|0|0|0|0
490613|0|0|0|0|0|0|0|0|0
460884|0|0|0|0|0|0|0|0|0
497011|0|0|0|0|0|0|0|0|0
463004|0|0|0|0|0|0|192|305|192
501339|0|0|0|0|0|0|0|0|0
475701|0|0|0|0|0|0|0|0|
506959|||||||||
489169|0|0|0|0|0|0|0|0|
489627|0|0|0|0|0|0|0|0|
489206|0|0|0|0|0|0|0|0|
532263|0|0|0|0|0|0|0|0|0
465655|0|0|0|0|0|0|0|0|
493181|0|0|0|0|0|0|724|539|724
483581|0|39017|0|0|0|0|0|0|0
474530|0|0|0|0|0|0|0|0|
465062|106255|103972|0|0|0|0|11201|6024|
471641|0|0|0|0|0|0|0|0|0
465108|0||0||1276797|3428364|81918|85343|
467223|0|0|0|0|0|0|589|570|589
465143|0|0|0|0|0|0|959|849|
465126|61773|63003|0|0|0|0|4998|4997|
466292|0|0|0|0|0|0|0|0|
467105|0|757|0|0|0|0|4576|10146|
492112|0|0|0|0|0|0|0|1190|0
472360||0||0||0|280|460|280
469442|0|0|0|0|0|0|0|0|0
468559|0|0|0|0|0|0|0|0|0
469292|||||||||
499406|911|3050|0|0|0|0|0|0|911
495385|0|0|0|0|0|0|1728|1501|1728
464046|0|0|0|0|0|0|0|0|0
474461|0|0|0|0|0|0|0|0|
494200|0|0|0|0|0|0|348|247|348
474536|0|0|0|0|0|0|86|0|
478794|0|0|0|0|0|0|396|344|396
476017|0|0|0|0|0|0|0|0|0
493920|0|0|0|0|0|0|0|0|0
497708|0|0|0|0|0|0|0|0|
475621|0|0|0|0|0|0|432|379|432
489345|0|0|0|0|0|0|887|0|887
471597|0|0|0|0|0|2|0|0|
476693|0|0|0|0|0|0|1524|2686|1524
496687|0|0|0|0|0|0|0|0|0
474844|0|0|0|0|0|0|0|0|0
477979|||||0|0|5028|5006|
480662|51332|43208|0|0|0|0|3296|10753|
495375|0|0|0|0|0|0|0|0|
474892|0|0|0|0|0|0|0|0|0
491513|0|0|0|0|0|0|0|0|0
476459|||||||||
486812|0||0||0|0|5510|2212|
479467|||||42059|33926|53941||
478818|0|0|0|0|0|0|0|0|0
473606|0|0|0|0|0|0|25447|25705|
488584|0|0|1861016|1785295|0|0|2829691|2760302|
478526|4055|0|0|0|0|0|65|1359|4120
477293|0|0|0|0|0|0|0|0|0
482522|0|0|0|0|0|0|0|0|
478118|0|0|0|0|0|0|0|0|0
495605|0|0|0|0|0|0|0|0|0
477155|0|0|0|0|0|0|0|0|
473929|0|0|0|0|0|0|0|0|
491632|0|0|0|0|0|0|0|0|0
480072|0|0|0|0|0|0|0|0|0
500856|0|0|0|0|0|0|0|0|0
474176|0|0|0|0|0|0|0|0|0
491158|0|0|0|0|0|0|0|0|0
498409|0|0|0|0|0|0|0|0|
476052|2509|2434|0|0|0|0|266|1856|
492850|0|0|0|0|0|0|0|0|0
474690|0|0|0|0|0|0|0|0|
493040||0||0||0||214|0
491997|0|0|0|0|0|0|0|0|0
479008|0|0|0|0|0|0|0|0|0
482358||0||0|0|0|9346|234|
468260|0|0|0|0|0|0|0|0|0
491204|24396|44805|0|239568|0|0|7750|1732|
489328|0|0|0|0|0|0|0|0|0
486680|345||345||345|345|345||
483386|0|0|0|0|0|0|0|0|0
498706|0|0|0|0|0|0|0|0|0
486744|||||0|0|||
471203|0|0|0|0|0|0|0|0|0
470717|51|1304||0||0||0|
498588|0|0|0|0|0|0|0|0|0
472453|0|0|0|0|0|0|0|0|0
473877|7017|6944|0|0|0|0|0|0|
491777|7064|0|0|0|0|0|570|1074|7634
480272|0|0|0|0|0|0|0|0|0
477289|||||||||
475646|4141|0|0|0|0|0|470|52|4611
494686|0||0||0|0|0||
491822|0|0|0|0|0|0|0|0|0
532122|0|0|0|0|0|0|0|0|0
