RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
482785|721422|0|252000|450||68274|0|0|9950|0|336261|0|1135|0|336261
496493|50951|0|0|||0|||0||0||||
492562|7732|0|0|||14|||0||0||||
497215|40387|0|0|||345|||700||0||||
492168|70371|0|0|||236|||0||244||||
489015|113677|0|0|||1072|||0||3200||||
473779|4701|0|0|||430|||0||2272||||
492811|0|49410|0|||58|||0||50000||||
523744|7341|0|0|||0|||0||4205||||
491658|41826|0|0|||0|||0||0||||
497634|17764|0|0|||145|||0||0||||
493236|71147|0|0|||223|||100||10552||||
474663|30549|0|0|||31|||0||636||||
496068|31711|||||51|||||50||||
458786|14600|0|0|||24|||35301||105||||
489049|0|66221|0|||40|||0||3651||||
494248|39382|||||125|||||||||
493177|26678|0|0|||0|||35599||5485||||
489111|24246|0|0|||0|||0||232||||
495173|23101||||||||||100||||
493367|62056|0|0|||76|||0||0||||
472372|10186|0|0|||0|||0||0||||
492972|53302|0|0|||0|||0||102483||||
490613|0|0|0|||90|||0||15722||||
460884|0|126962|0|||556|||0||31873||||
497011|14585|0|0|||0|||200||0||||
463004|9075|0|0|||1|||0||0||||
501339|111336|0|0|||22|||0||67||||
475701|14213|0|0|||0|||245||0||||
506959|29273|||||65|||||||||
489169|9391|0|0|||0|||0||0||||
489627|1760845|0|0|0||3780|0|0|0|0|29250|0|0|0|21223
489206|15390|0|0|||0|||0||738||||
532263|8418|0|0|||33|||0||0||||
465655|16516|0|0|||0|||0||0||||
493181|78721|0|0|||0|||0||0||||
483581|16353|0|0|||325|||0||549||||
474530|17570|0|0|||0|||1800||0||||
465062|2076575|115831|244464|0||812|0|0|0|0|56015|0|0||17015
471641|29201|0|0|||125|||0||0||||
465108|362214|0||0||29415|0|200000|971323||184556|0|40819||25501
467223|25027|0|0|||40|||0||0||||
465143|114083|0|0|||1464|||0||0||||
465126|704633|0|433052|1677||14516|18115|0|2688006|0|250547|0|0||4101
466292|0|28158|0|||0|||0||0||||
467105|0|459651|0|0||2028|0|0|0|0|22342|0|0||849
492112|0|76093|0|||2377|||0||46581||||
472360|80973|0|0|||0|||0||0||||
469442|10177|0|0|||0|||0||0||||
468559|49963|0|0|||199|||0||1386||||
469292|46304|||||83|||||||||
499406|96434|0|0|||590|||0||9305||||
495385|68451|||||205|||||3115||||
464046|0|0|0|||3|||0||21||||
474461|149062|0|0|||57|||0||1292||||
494200|38386||42277|||9339|||||3162||||
474536|21159|0|0|||688|||0||4560||||
478794|60086|0|0|||1107|||0||58||||
476017|68692|0|0|||20|||0||4900||||
493920|14936|0|0|||383|||0||25||||
497708|0|130125|0|||0|||0||3324||||
475621|10150|0|0|||88|||10583||1541||||
489345|120476|0|0|||0|||0||11831||||
471597|71381|0|0|||508|||0||1393||||
476693|54249|0|0|||96|||0||31||||
496687|15302|0|0|||19|||0||0||||
474844|23972|0|0|||0|||0||1159||||
477979|316221|0||0||0|0|20115|0||10937|0|0||10937
480662|0|1360416|0|0||260|0|0|0|0|2114314|0|0||4199
495375|0|9168|0|||0|||0||0||||
474892|18396|0|0|||0|||0||621||||
491513|30869|0|0|||98|||0||2346||||
476459|12976||||||||||||||
486812|133436|0||0||8116|0|22230|527485||53260|4000|0||14682
479467|1941458|0|500|0||9170|0|18126|0||181158|2132118|0||
478818|22675|||||60|||||462||||
473606|496242|0|0|0||27083|0|0|0|0|116232|0|140|0|8315
488584|9480725|0|27355|0||123|549|680442|338209|0|1209546|0|0|19400|320374
478526|67892|0|0|||4|||0||10556||||
477293|50921|0|0|||0|||0||6039||||
482522|27853|0|38662|||301|||59444||7920||||
478118|151920|0|0|||901|||0||12591||||
495605|16419|||||2|||||18900||||
477155|9872|0|0|||19|||0||119||||
473929|112637|0|0|||607|||0||3068||||
491632|70404|0|0|||26|||0||14309||||
480072|7252|0|0|||0|||0||9920||||
500856|27514|0|0|||0|||0||0||||
474176|53969|0|1265|||3587|||275||900||||
491158|4346|0|0|||1216|||0||0||||
498409|9041|0|0|||0|||0||0||||
476052|44648|0|0|||544|||75||9684||||
492850|13277|0|0|||7|||0||464||||
474690|22492|0|0|||375|||0||0||||
493040|47558|0|0|||0|||0||0||||
491997|41619|0|0|||0|||0||9290||||
479008|83759|0|0|||1243|||0||58446||||
482358|2167753|0|390|0||1163|0|0|0|0|492|0|0||492
468260|129899|0|0|||3|||0||504||||
491204|437629|0|0|0||9|0|0|0|270000|114556|0|22000||6362
489328|9844|0|0|||0|||0||1600||||
486680|345|500||345||345|345|345|345||25100|345|345||
483386|57751|0|0|||0|||1600||5831||||
