OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
195004|2101|ACTIVE|357|T|581947
195005|2101|APPRENTICES|53|F|581947
195006|2101|RETIRED|122|T|581947
195007|2101|LIFE|63|T|581947
202423|2102|Agency Fee Payers|0|F|593444
202421|2101|Active Carriers|2245|T|593444
202422|2101|Retired Carriers|622|T|593444
187773|2101|LOCAL UNIONS|21|T|560839
187774|2102|Agency Fee Payers|0|F|560839
187789|2102|Agency Fee Payers|0|F|560865
187786|2101|Journeymen|916|T|560865
187787|2101|Apprentices|210|F|560865
187788|2101|Retirees|149|T|560865
188251|2101|Building Trades members|816|T|561411
188252|2101|Production Workers|269|T|561411
188253|2101|Retired Members|274|T|561411
188254|2101|Members on Withdrawl|32|F|561411
190539|2101|Regular Members|1666|T|562735
190540|2101|Relief Members|1188|T|562735
190541|2101|Retired Members|531|T|562735
190542|2101|Associate Members|12|F|562735
190543|2101|Retired Associate Members|0|F|562735
190544|2102|Agency Fee Payers|0|F|562735
202465|2101|MEMBERS|1509|T|593574
202466|2102|Agency Fee Payers|0|F|593574
193524|2101|CLASS A MEMBERSHIP|215|T|579560
193525|2101|CLASS BA MEMBERSHIP|19|T|579560
199809|2101|"A" Members|294|T|586567
199810|2101|"BA" Members|13|T|586567
196425|2101|Journeyman|1163|T|583490
196426|2101|Industrial|303|T|583490
196427|2101|Apprentice|178|T|583490
196428|2101|Retired|165|T|583490
193564|2101|Regular dues paying members|725|T|579681
195786|2101|Regular members|18417|T|582982
195787|2102|Agency Fee Payers|251|F|582982
200764|2101|ACTIVE FULL TIME MEMBERS|6940|T|587340
200765|2101|ACTIVE PART TIME MEMBERS|2997|T|587340
200766|2102|Agency Fee Payers|0|F|587340
192894|2101|REGULAR MEMBER|651|T|577836
198917|2101|"A" Members|2|T|585642
198918|2101|"BA" Members|1503|T|585642
201380|2101|Local 1626 Members|190|T|589268
194337|2101|Phillips66 P&M Group|427|T|581031
194338|2101|Phillips66 Clerical Group|11|T|581031
194339|2101|Sasol P&M Group|175|T|581031
194340|2101|Sasol Clerical Group|1|T|581031
194341|2101|Louisiana Pigment Group|76|T|581031
195458|2101|DUES PAYING MEMBERS|157|T|582611
195459|2102|Agency Fee Payers|0|F|582611
194763|2101|REGULAR MEMBERS|48306|T|581579
199280|2101|PART TIME|657|T|585884
199281|2101|RETIREE|1977|F|585884
199282|2101|ASSOCIATE|22|F|585884
199283|2102|Agency Fee Payers|981|F|585884
199279|2101|FULL TIME|10927|T|585884
192348|2101|"A"|33|T|574499
192349|2101|"BA"|726|T|574499
192350|2102|Agency Fee Payers|18|F|574499
192150|2101|GENERAL MEMBERSHIP|2509|T|574195
191409|2101|Active members with all rights|555|T|572580
191410|2101|Members on LTD|22|F|572580
191411|2101|Members not sworn in|24|F|572580
191745|2101|General Membership|593|T|573502
191961|2101|Full Dues Paying Members|1030|T|573993
191962|2101|Cash Dues Paying Members|2|T|573993
191963|2102|Agency Fee Payers|0|F|573993
194941|2101|Active Members|824|T|581829
194942|2102|Agency Fee Payers|0|F|581829
190867|2101|JOURNEYMEN|55|F|562915
190868|2101|PENSIONERS|1|F|562915
191928|2101|REGULAR MEMBERS|1754|T|573862
191929|2101|RETIRED MEMBERS|3|T|573862
191930|2102|Agency Fee Payers|24|F|573862
196540|2101|Active Members Full dues all members|420|T|583606
196541|2101|Retirees Partial Dues|350|T|583606
196542|2102|Agency Fee Payers|770|F|583606
192566|2101|Active Members|278|T|576214
192567|2102|Agency Fee Payers|0|F|576214
199817|2101|CONSTUCTION ELECTRIAN CONTRUCTION WIREMAN|0|T|586570
199811|2101|JOURNEYMAN|319|T|586570
199812|2101|APPRENTICE|8|T|586570
199813|2101|PRE-APPRENTICE|0|F|586570
199814|2101|RESIDENTIAL WIREMAN|0|T|586570
199815|2101|RESIDENTIAL APPRENTICE|0|T|586570
199816|2101|RESIDENTIAL PRE-APPRENTICE|0|F|586570
190988|2101|JOURNEYMEN|375|T|562991
190989|2101|APPRENTICES|21|T|562991
190990|2101|LIFE MEMBERS|22|T|562991
190991|2101|RETIREES|80|T|562991
190992|2102|Agency Fee Payers|0|F|562991
220206|2101|ACTIVE MEMBERS|87|T|618632
220207|2102|Agency Fee Payers|0|F|618632
194463|2101|REGULAR MEMBERS|26523|T|581201
188857|2101|JOURNEYMAN|1024|T|561974
188858|2101|APPRENTICE|133|T|561974
188859|2101|RETIRED MEMBER|72|T|561974
188860|2101|EARLY RETIREE AND DISABLED|118|T|561974
188861|2101|HONORARY MEMBER|80|T|561974
188862|2101|CONTRACTOR|2|F|561974
188863|2102|Agency Fee Payers|0|F|561974
196275|2101|STEWARDS|44|T|583388
196274|2101|OFFICERS|7|T|583388
196276|2101|ACTIVE MEMBERS|3535|T|583388
199315|2101|Regular fully paid members|370|T|585951
192411|2101|All dues paying member get one vote in the election|85|T|574895
192412|2102|Agency Fee Payers|0|F|574895
193348|2101|International Longshoremen Association|40|T|579074
193349|2102|Agency Fee Payers|148|F|579074
199973|2101|MICHIGAN LOCAL UNION|136613|T|586765
199974|2102|Agency Fee Payers|0|F|586765
186902|2101|ACTIVE MEMBER|2210|T|557229
186903|2101|RETIRED MEMBER|17|F|557229
186904|2101|UNEMPLOYED MEMBER|0|F|557229
186905|2101|LIFE MEMBER|422|F|557229
186906|2101|OFFICIAL MEMBER|151|F|557229
186907|2102|Agency Fee Payers|0|F|557229
187378|2101|Active Members|3600|T|559703
188167|2101|A|11|T|561376
188168|2101|BA|979|T|561376
188169|2102|Agency Fee Payers|0|F|561376
194903|2101|Regular members|621|T|581789
194904|2101|Retired members|21|T|581789
194156|2101|JOURNEYMEN|1233|T|580759
194157|2101|APPRENTICES|270|T|580759
194158|2101|RETIREES|211|F|580759
194159|2101|ARREARS MEMBERS|46|F|580759
202054|2101|4Direct Bill Members (Private Practice)|227|T|592143
202055|2101|State Employed Members|1101|T|592143
202056|2101|County Employe Members|1191|T|592143
202057|2102|Agency Fee Payers|1227|F|592143
192115|2101|FULL DUES PAYING MEMBERS|1858|T|574157
192116|2102|Agency Fee Payers|0|F|574157
188053|2101|Journeyman|458|T|561285
188054|2101|Apprentice|86|F|561285
188055|2101|Retirees|371|T|561285
187016|2101|ACTIVE MEMBER|971|T|557577
187017|2101|RETIRED MEMBER|4|F|557577
187018|2101|UNEMPLOYED MEMBER|0|F|557577
187019|2101|LIFE MEMBER|142|F|557577
187020|2101|OFFICIAL MEMBER|52|F|557577
201075|2101|Goodyear Tire and Rubber Company Employees|1850|T|587515
201076|2101|Rite-Way Corp|80|T|587515
201077|2102|Agency Fee Payers|0|F|587515
195937|2101|Part time part time members|147|T|583165
195935|2101|Full time members|7149|T|583165
195938|2102|Agency Fee Payers|1397|F|583165
195936|2101|Part time members|235|T|583165
193351|2101|FULL DUES PAYING MEMBERS|719|T|579099
193352|2102|Agency Fee Payers|0|F|579099
196386|2101|Members|1755|T|583463
196387|2102|Agency Fee Payers|1|F|583463
194470|2101|Regular Member|1200|T|581211
194471|2102|Agency Fee Payers|6|F|581211
207207|2101|Regular Members|461|T|600202
207208|2102|Agency Fee Payers|0|F|600202
192373|2101|Active Members|637|T|574554
200282|2101|Active|1020|T|587025
200283|2101|Retiree|80|F|587025
191618|2101|IN-SERVICE|388476|T|573263
191619|2101|RETIREES|203427|T|573263
191620|2101|AT-LARGE|7731|F|573263
191621|2101|SPECIAL CONSTITUENCY GROUPS|12663|F|573263
191622|2102|Agency Fee Payers|23365|F|573263
195102|2101|Regular members|740|T|582111
195103|2101|Unemployed members|7|F|582111
195104|2101|Retired, Life, and Exempt members|218|F|582111
195105|2102|Agency Fee Payers|5|F|582111
187783|2101|A members|13|T|560851
187784|2101|BA members|117|T|560851
191822|2101|Members of Affiliated Unions|8436|F|573672
192434|2101|Union members|751|T|575079
192435|2101|Associate members|143|F|575079
192436|2101|Retirees|187|T|575079
196642|2101|"A"|143|T|583698
196643|2101|"BA"|1262|T|583698
196644|2102|Agency Fee Payers|0|F|583698
196824|2101|Regular members|531|T|583880
193290|2101|Office Assistant|29|T|578940
193276|2101|Wire Technicians|231|T|578940
193291|2101|System specialist tech|5|T|578940
193292|2101|Sales Associate|139|T|578940
193293|2101|Machine Operator|3|T|578940
193294|2101|Customer Service Rep|96|T|578940
193295|2101|Retail Sales Consultant|109|T|578940
193296|2101|Sales Support Rep|7|T|578940
193297|2101|Customer support Specialist|55|T|578940
193298|2101|DASR|12|T|578940
193299|2101|Other|9|T|578940
193277|2101|Sales Consultant|241|T|578940
193278|2101|Engineering Assistant|9|T|578940
193279|2101|Outside Plant Technician|36|T|578940
193280|2101|Operator|1|T|578940
193281|2101|Service Rep|18|T|578940
193282|2101|Maintenance Administrator|21|T|578940
193283|2101|Services Technician|165|T|578940
193284|2101|Systems Tech|7|T|578940
193285|2101|Material Service Coordinator|1|T|578940
193286|2101|Acounting|1|T|578940
193287|2101|Electronic Tech|33|T|578940
193288|2101|Facility Tech|156|T|578940
193289|2101|Digital Tech|61|T|578940
186381|2101|FULL DUES PAYING MEMBERS WITH VOTING RIGHTS|45|T|554856
186382|2102|Agency Fee Payers|0|F|554856
201321|2101|FULL TIME MEMBERS|439|T|588187
201322|2102|Agency Fee Payers|0|F|588187
190483|2101|Regular members (State and Non-state)|46983|T|562710
190484|2102|Agency Fee Payers|13976|F|562710
196029|2101|Active Members|3716|T|583221
196030|2101|Permit Fee Payers|331|F|583221
196031|2102|Agency Fee Payers|0|F|583221
191998|2101|GENERAL|601|T|574004
195862|2101|BA|316|T|583111
195861|2101|A|7|T|583111
209434|2101|Regular Members|9338|T|606505
209435|2101|Beck members|1|F|606505
209436|2101|Retirees|1|F|606505
209437|2101|Permit Fee Payers|1169|F|606505
209438|2101|Financial Core members|212|F|606505
202877|2101|Active Members|2251|T|595663
202878|2101|Permit Fee Payers|1014|F|595663
202879|2102|Agency Fee Payers|10|F|595663
197595|2101|REGULAR MEMBERS|1098|T|584351
