OID|INV_TYPE|NAME|AMOUNT|RPT_ID
246221|701|Gateway Fund CL A|80000|609380
246211|703|Marketable Securities Total Cost|968474|609380
246212|704|Marketable Securities Total BookValue|866308|609380
246213|701|Eaton Vance BD Fund CL A|50000|609380
246214|701|Eaton Vance FLTG Rate Fund CL I|100000|609380
246215|701|Loomis Sayles FDS II Invt Grade BD FD CL Y|170000|609380
246216|701|Natixis Loomis Sayles High Income Fund CL A|100000|609380
246217|701|Oppenheimer Strategic Income Fund CL Y|70000|609380
246218|701|PIMCO Short Term Fund|44114|609380
246219|701|PIMCO FDS PAC Invt Mgmt Ser GNMA FD Instl CL|70000|609380
246220|701|Templeton Global BD Fund Advisor CL|75000|609380
246222|701|Lord Abbett Convertible Fund CL A|100000|609380
246223|705|Other Investments Total Cost||609380
246224|706|Other Investments Total Book Value||609380
256431|703|Marketable Securities Total Cost||614367
256432|704|Marketable Securities Total BookValue||614367
256433|705|Other Investments Total Cost||614367
256434|706|Other Investments Total Book Value||614367
236175|703|Marketable Securities Total Cost|0|596988
236176|704|Marketable Securities Total BookValue|0|596988
236177|701|NONE|0|596988
236178|705|Other Investments Total Cost|0|596988
236179|706|Other Investments Total Book Value|0|596988
236180|702|NONE|0|596988
239772|703|Marketable Securities Total Cost|1108086|599201
239773|704|Marketable Securities Total BookValue|1078343|599201
239774|701|SIT US Govt Fund|63816|599201
239775|701|FNMA PL 5%|100176|599201
239776|701|Wells Fargo 5.75%|217278|599201
239777|701|ATT 2.4%|182480|599201
239778|701|General Electric|70830|599201
239779|705|Other Investments Total Cost|1209761|599201
239780|706|Other Investments Total Book Value|645971|599201
239781|702|SMW Local 9 Building Association|645971|599201
239881|703|Marketable Securities Total Cost|0|599290
239882|704|Marketable Securities Total BookValue||599290
239883|705|Other Investments Total Cost|0|599290
239884|706|Other Investments Total Book Value||599290
243841|703|Marketable Securities Total Cost||607251
243842|704|Marketable Securities Total BookValue||607251
243843|705|Other Investments Total Cost||607251
243844|706|Other Investments Total Book Value||607251
250781|701|NONE|0|611865
250779|703|Marketable Securities Total Cost|0|611865
250780|704|Marketable Securities Total BookValue|0|611865
250782|705|Other Investments Total Cost|1382982|611865
250783|706|Other Investments Total Book Value|1382982|611865
250784|702|Amal. Bk of New York - ComStk (Not sold to public)|1314689|611865
250785|702|    ||611865
259948|703|Marketable Securities Total Cost|0|620071
259949|704|Marketable Securities Total BookValue|0|620071
259950|705|Other Investments Total Cost|0|620071
259951|706|Other Investments Total Book Value|0|620071
261401|703|Marketable Securities Total Cost|167000|625270
261402|704|Marketable Securities Total BookValue|167000|625270
261403|705|Other Investments Total Cost||625270
261404|706|Other Investments Total Book Value||625270
259359|703|Marketable Securities Total Cost||618130
259360|704|Marketable Securities Total BookValue||618130
259361|705|Other Investments Total Cost||618130
259362|706|Other Investments Total Book Value||618130
247762|703|Marketable Securities Total Cost|1949207|610254
247763|704|Marketable Securities Total BookValue|2264234|610254
247764|705|Other Investments Total Cost|297943|610254
247765|706|Other Investments Total Book Value|297943|610254
241598|703|Marketable Securities Total Cost|1488028|602173
241599|704|Marketable Securities Total BookValue|1498498|602173
241600|701|BLACKROCK FUNDS II MULTI ASSET INCOME PORT|488007|602173
241601|701|JOHN HANCOCK III DISCIPLINED VALUE CL A|200007|602173
241602|701|JOHN HANCOCK FDS II GLOBAL ABSOLUTE RETURN|400007|602173
241603|701|JOHN HANCOCK FUNDS II STRATEGIC INCOME OPPTYS|400007|602173
241604|705|Other Investments Total Cost||602173
241605|706|Other Investments Total Book Value||602173
240078|703|Marketable Securities Total Cost||599557
240079|704|Marketable Securities Total BookValue||599557
240080|705|Other Investments Total Cost||599557
240081|706|Other Investments Total Book Value||599557
241347|703|Marketable Securities Total Cost||602025
241348|704|Marketable Securities Total BookValue||602025
241349|705|Other Investments Total Cost||602025
241350|706|Other Investments Total Book Value||602025
240464|703|Marketable Securities Total Cost|72053|600993
240465|704|Marketable Securities Total BookValue|116567|600993
240466|701|DIREXION FUNDS|25769|600993
240467|701|PAYDEN CORP BOND FUNDS|19185|600993
240468|701|PIMCO FUNDS - REAL ESTATE|11605|600993
240469|701|PIMCO FUNDS - INCOME|11198|600993
240470|701|RYDEX FUNDS  -UTILITIES|11669|600993
240471|701|RYDEX FUNDS - INVERSE S&P 500|11594|600993
240472|701|RYDEX/SGI FUNDS - INVERSE RUSSELL 2000|11895|600993
240473|701|LEGG MASON - BW ALT CREDIT|6378|600993
