OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
319808|110 DRY ROAD, WHITESTOWN, NY|373915|32978|340937|340937|302|667115
319809|Automobiles and Other Vehicles|89815|67917|21899|21899|303|667115
319810|Office Furniture and Equipment|55829|46788|9041|9041|304|667115
319811|Other Fixed Assets|0|0|0|0|305|667115
330054|Automobiles and Other Vehicles|||||303|680092
330055|Office Furniture and Equipment|1996|1932|64|64|304|680092
330056|Other Fixed Assets|||||305|680092
326860|402 37th Street Richmond CA|155000|0|155000|155000|301|671945
326861|402 37th Street Richmond CA|450028|305857|144171|144171|302|671945
326862|Automobiles and Other Vehicles|||||303|671945
326863|Office Furniture and Equipment|131931|109834|22097|22097|304|671945
326864|Other Fixed Assets|4259|3095|1164|1164|305|671945
308645|NONE|0|0|0|0|301|654377
308646|NONE|0|0|0|0|302|654377
308647|Automobiles and Other Vehicles|76682|54510|22172|22172|303|654377
308648|Office Furniture and Equipment|35532|28541|6991|6991|304|654377
308649|Other Fixed Assets|22990|22990|0|0|305|654377
308773|814 Airport Blvd., Austin, Texas|124387|0|124387|2324470|301|654644
308774|814 Airport Blvd., Austin, Texas|4209998|710662|3499336|1614112|302|654644
308775|Automobiles and Other Vehicles|33726|11242|22484|22484|303|654644
308776|Office Furniture and Equipment|151714|121582|30132|30132|304|654644
308777|Other Fixed Assets|81378|41750|39628|39628|305|654644
309495|Automobiles and Other Vehicles|143702|39745|103957|103000|303|655540
309496|Office Furniture and Equipment|148838|144656|4183|10000|304|655540
309497|Other Fixed Assets|||||305|655540
311484|none|0|0|0|0|301|656470
311485|none|0|0|0|0|302|656470
311486|Automobiles and Other Vehicles|0|0|0|0|303|656470
311487|Office Furniture and Equipment|22331|18016|4315|4315|304|656470
311488|Other Fixed Assets|0|0|0|0|305|656470
311064|LAND: 301 ERICKSON BLVD|115053|0|115053|115053|301|656310
311065|BUILDING: 301 ERICKSON BLVD|809765|253740|556025|556025|302|656310
311066|Automobiles and Other Vehicles|84823|3344|81479|81479|303|656310
311067|Office Furniture and Equipment|102644|71050|31594|31594|304|656310
311068|Other Fixed Assets|29311|29309|2|2|305|656310
334568|Automobiles and Other Vehicles|||||303|684650
334569|Office Furniture and Equipment|||||304|684650
334570|Other Fixed Assets|||||305|684650
319866|3300 US HWY 70 EAST,  DURHAM, NC  27703||0|63500|63500|301|667135
319867|3300 US HWY 70 EAST, DURHAM, NC 27703|63500|63500|0|0|302|667135
319868|IMPROVEMENTS TO THE BUILDING|27912|750|25571|25571|302|667135
319869|Automobiles and Other Vehicles|21530|2363|8467|8467|303|667135
319870|Office Furniture and Equipment|8577|987|494|494|304|667135
319871|Other Fixed Assets|||||305|667135
318814|Automobiles and Other Vehicles|||||303|666307
318815|Office Furniture and Equipment|16003|13151|2852|2852|304|666307
318816|Other Fixed Assets|||||305|666307
326994|Land - 7320 S. University Ave., Little Rock, AR|29902|0|29902|75000|301|672009
326995|Land - Lot, Little Rock, AR |1|0|1|25000|301|672009
326996|Land - 7400 S. University Ave, Little Rock, AR |80000|0|80000|100000|301|672009
326997|7320 S. University Ave., Little Rock, AR |69761|68661|1100|200000|302|672009
326998|7420 S. University Ave., Little Rock, AR |206779||206779|250000|302|672009
326999|Shop Building, Little Rock, Arkansas|101950||101950|120000|302|672009
327000|Automobiles and Other Vehicles|58809||58809|100000|303|672009
327001|Office Furniture and Equipment|109787|1769|108018|64000|304|672009
327002|Other Fixed Assets|52996||52996|40000|305|672009
318954|5403 Dividend Drive Decatur GA|1395623|0|1395623|752500|302|666439
318955|109 Gusmus Ave Muscle Shoals AL|212500|106250|106250|50575|302|666439
318956|Automobiles and Other Vehicles|227477|71393|156084|122636|303|666439
318957|Office Furniture and Equipment|45378|24173|21205|21205|304|666439
318958|Other Fixed Assets|0|0|0|0|305|666439
318950|5403 Dividend Drive Decatur GA|250000|0|250000|322500|301|666439
318951|109 Gusmus Ave Muscle Shoals AL|37500|0|37500|8925|301|666439
318952| ||0|||301|666439
318953|248 Main St Forest Park GA|298265|148750|149515|249475|302|666439
318949|248 Main St Forest Park GA|52500|0|52500|44025|301|666439
319735|6279 NINE MILE RD., WARREN, MI|284625||284625|284625|302|667078
319736|Automobiles and Other Vehicles|||||303|667078
319737|Office Furniture and Equipment|26189||26189|26189|304|667078
319738|Other Fixed Assets|||||305|667078
323332|325 South Ashland Avenue, Chicago, IL  60607|71168|0|71168|72000|301|669672
323333|333 South Ashland Avenue, Chicago, IL  60607|135522|0|135522|153000|301|669672
323334|Building- 333 S. Ashland Ave.-Chicago,IL 60607|856072|819618|36454|1350000|302|669672
323335|Automobiles and Other Vehicles|870773|599584|271189|271189|303|669672
323336|Office Furniture and Equipment|449005|445323|3682|112000|304|669672
323337|Other Fixed Assets|171577|63844|107733|125000|305|669672
327961|Automobiles and Other Vehicles|||||303|672658
327962|Office Furniture and Equipment|12668|10688|1980|1980|304|672658
327963|Other Fixed Assets|21671|16432|5239|5239|305|672658
328863|Automobiles and Other Vehicles|||||303|675803
328864|Office Furniture and Equipment|8987||8987|8987|304|675803
328865|Other Fixed Assets|||||305|675803
324665|Automobiles and Other Vehicles|39045|28091|10954|10954|303|670640
324666|Office Furniture and Equipment|48534|48096|438|438|304|670640
324667|Other Fixed Assets|269120|81165|187955|187955|305|670640
324000|Automobiles and Other Vehicles|0|0|0|0|303|670151
324001|Office Furniture and Equipment|0|0|0|0|304|670151
324002|Other Fixed Assets|0|0|0|0|305|670151
369516|HONOLULU|136812|0|136812|0|301|727039
369517|MAUI 2|811259|0|811259|0|301|727039
369518|HILO|45236|0|45236|0|301|727039
369519|KAUAI|223984|0|223984|0|301|727039
369520|MAUI 3|341287|0|341287|0|301|727039
369521|HONOLULU|1106994|749642|357352|0|302|727039
369522|MAUI 2|1800348|847226|953122|0|302|727039
369523|KAUAI|1520737|1117040|403697|0|302|727039
369524|HAWAII|464515|315849|148665|0|302|727039
369525|HONOLULU IMPROVEMENTS|2393|2393|0|0|302|727039
369526|OREGON IMPROVEMENTS|18401|15133|3268|0|302|727039
369527|Automobiles and Other Vehicles|0|0|0|0|303|727039
369528|Office Furniture and Equipment|2251403|2019949|231454|0|304|727039
369529|Other Fixed Assets|||||305|727039
314874|Automobiles and Other Vehicles|24095|4417|19678|19678|303|659014
314875|Office Furniture and Equipment|203951|161173|42778|42778|304|659014
314876|Other Fixed Assets|8354|530|7824|7757|305|659014
314939|Automobiles and Other Vehicles|121861|58347|63514|63514|303|659093
314940|Office Furniture and Equipment|121668|117192|4476|4476|304|659093
314941|Other Fixed Assets|2729|2729|0|0|305|659093
313583|Other Fixed Assets|1314||1314|1000|305|657539
313579|Land (Boron, CA)|2000|0|2000|2000|301|657539
313580|Building (Boron, CA)|367635|164705|202930|175000|302|657539
313581|Automobiles and Other Vehicles|||||303|657539
313582|Office Furniture and Equipment|112736|78181|34555|70000|304|657539
314218|145 Colonial Ct., Mt. Clemens, MI 48043|234761|69476|165285|165285|302|658480
314219|Automobiles and Other Vehicles|||||303|658480
314220|Office Furniture and Equipment|33440|31366|2074|2074|304|658480
314221|Other Fixed Assets|||||305|658480
314702|17233 W Ten Mile Rd, Southfield, MI|20000|0|20000|20000|301|658917
314703|17233 W Ten Mile Rd, Southfield, MI |204447|204447|0|295461|302|658917
314704|Automobiles and Other Vehicles|0|0|0|0|303|658917
314705|Office Furniture and Equipment|87153|86854|299|299|304|658917
314706|Other Fixed Assets|190477|117821|72656|72656|305|658917
314024|Office Furniture and Equipment|53671|50529|3142|3142|304|658307
314021|190 W. G STREET, COLTON, CA 92324|25160|0|25160|25160|301|658307
314025|Other Fixed Assets|184437|141294|43143|43143|305|658307
314022|190 W. G STREET, COLTON, CA 92324|145295|145295|0|282235|302|658307
314023|Automobiles and Other Vehicles|||||303|658307
315499|100 N River St Newcomerstown OH 43832|227789|47979|179810|180000|302|660450
315500|Automobiles and Other Vehicles|31788|31258|530|5000|303|660450
315501|Office Furniture and Equipment|16144|16144|0|0|304|660450
315502|Other Fixed Assets|||||305|660450
316603|1440 BELLEFONTAINE AVE. LIMA, OH|20073|0|20073|20073|301|663557
316604|1440 BELLEFONTAINE AVE. LIMA, OH|82207|0|82207|82207|302|663557
316605|Automobiles and Other Vehicles|||||303|663557
316606|Office Furniture and Equipment|17235|0|17235|17235|304|663557
316607|Other Fixed Assets|||||305|663557
326883|Automobiles and Other Vehicles|99910|39997|59913|59913|303|671952
326884|Office Furniture and Equipment|141524|137389|4135|4135|304|671952
326885|Other Fixed Assets|0|0|0|0|305|671952
310716|161 LONDONDERRY TPKE, HOOKSETT NH|48071|0|48071|289700|301|656135
310717|161 LONDONDERRY TPKE, HOOKSETT NH|805636|514272|291364|501900|302|656135
310718|Automobiles and Other Vehicles|44591|33442|11149|20000|303|656135
310719|Office Furniture and Equipment|26642|24962|1680|3000|304|656135
310720|Other Fixed Assets|16000|16000|0|1000|305|656135
316520|Office Furniture and Equipment|||||304|663435
316521|Other Fixed Assets|||||305|663435
316519|Automobiles and Other Vehicles|||||303|663435
309758|NONE|0|0|0|0|301|655753
309759|NONE|0|0|0|0|302|655753
309760|Automobiles and Other Vehicles|0|0|0|0|303|655753
309761|Office Furniture and Equipment|26700|20913|5787|5787|304|655753
309762|Other Fixed Assets|0|0|0|0|305|655753
