OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
29568|FORD MOTOR CREDIT|0|40992|10440|0|30552|656409
29374|NONE|0|0|0|0|0|654522
27894|Ally|36910|0|619|0|36291|634338
27895|M&T Bank|3243|0|354|0|2889|634338
28205|PNC|126098|0|11815|0|114283|638438
29375|N/A|0|0|0|0|0|654535
28918|Union Bank - VISA Charge Card|0|4696|0|0|4696|642967
29273|EASTERN BANK MORTGAGE|298434|0|10433||288001|649164
29276|SunTrust Line of Credit|2503819|0|2503819|0|0|649202
29286|Certificate payable|3350|0|0|0|3350|649227
29311|OPEIU International Union |13750|0|13750|0|0|649842
29312|NONE|0|0|0|0|0|649854
29313|DC 33 LEGAL SERVICES PLAN|122544|0|0|0|122544|649863
29317|NONE|0|0|0|0|0|649952
29319|COMERICA BANK|830998|0|116200|0|714798|650286
29320|KEY BANK LINE OF CREDIT|0|1500000|1500000||0|650322
29321|LOAN FROM NYSNA INVESTMENT ACCOUNT|0|1000000|1000000||0|650322
29322|NONE|0|0|0|0|0|650450
29323|OHWBST|100000|100000|100000||100000|650474
29324|FORD MOTOR CORP|66985|103503|27890|50173|92425|650536
29325|ALLY FINANCIAL||28128|5671||22457|650536
29326|NONE|0|0|0|0|0|650548
29331|Wayne Motors Inc.|0|41148|1143|0|40005|650562
29333|Transport Workers Union AFL/CIO|20000||10000|10000|0|650632
29334|M&T Bank|544729|200000|94205||650524|650643
29341|None|0|0|0|0|0|652593
29346|BUSEY BANK|52901|0|14407|0|38494|653255
29347|FORD MOTOR CREDIT|55195|0|17956|0|37239|653255
29348|MORTON COMM BANK|20434|0|5028|0|15406|653255
29349|Vehicle Loan|24513||5747||18766|653354
29350|Mortgage Loan|607859|0|607859||0|653358
29351|Mortgage Loan|0|613400|7504||605896|653358
29352|NOEFCU|226814|0|15712|0|211102|653386
29353|FORD CREDIT|7350||7350||0|653406
29354|FORD CREDIT|8535||1859||6676|653406
29355|ALLY|0|12057|1619||10438|653406
29361|N/A|0|0|0|0|0|653860
29362|none|0|0|0|0|0|653870
29363|BANK OF O'FALLON MORTGAGE LOAN|78867|0|28312|0|50555|653945
29364|NONE|0|0|0|0|0|653969
29365|NONE|0|0|0|0|0|654054
29366|NONE|0|0|0|0|0|654092
29367|First State Bank|10707|0|5102|0|5605|654096
29368|NONE|0|0|0|0|0|654113
29369|N/A|0|0|0|0|0|654146
29370|NONE|0|0|0|0|0|654244
29371|NONE|0|0|0|0|0|654272
29372|Great American Capital lease on projector 60 mo|37912|0|10118||27794|654373
29373|NONE|0|0|0|0|0|654377
29378|John Seid|1086||1084||2|654571
29379|Rita Russell||1494|||1494|654571
29380|2015 CHEVY TRAVERSE AUTO LOAN|29733||5589||24144|654615
29381|JOINT APPRENTICE FUND|13200|0|13200|0|0|654622
29382|AUTO LOANS|77299|206753|94906||189146|654691
29383|Pacific Maritime Association|62891||10571||52320|654693
29384|NONE|0|0|0|0|0|654740
29385|Ally Bank - Auto Loan|21157|0|21157|0|0|654755
29386|COOP. CASA DEL TRABAJADOR|23651|0|23651|0|0|654818
29387|VEGACOOP MORTGAGE|519681|0|52620|467061|0|654818
29388|NONE|0|0|0|0|0|654849
29389|MORTGAGE PAYABLE|152612|0|18940|0|133672|654875
29390|NOTE PAYABLE - M&M AUTO|15094||15094||0|654967
29391|NONE|0|0|0|0|0|654989
29392|NONE|0|0|0|0|0|654990
29393|FINANCIAL INSTITUTION|0|60576|848||59728|655044
29394|NONE|0|0|0|0|0|655052
29395|NONE|0|0|0|0|0|655069
29397|NONE|0|0|0|0|0|655109
29398|FORD MOTOR CREDIT CORP|18191|0|5900|0|12291|655195
29399|FORD MOTOR CREDIT CORP|18155|0|5888|0|12267|655195
29400|FORD MOTOR CREDIT CORP|18329|0|5945|0|12384|655195
29401|FORD MOTOR CREDIT CORP|17776|0|5925|0|11851|655195
29402|FORD MOTOR CREDIT CORP|17776|0|5925|0|11851|655195
29403|XEROX CORPORATION|2885||591|2294|0|655246
29404|XEROX CORPORATION||7043|489||6554|655246
29405|Long-term Debt|285658|0|88971|0|196687|655249
29406|NONE|0|0|0|0|0|655260
29408|Ford Motor Credit|5218||5218||0|655266
29409|Ford Motor Credit||36689|20639||16050|655266
29410|FIRST COLLINSVILLE BANK|60127|0|13867|0|46260|655268
29411|FIRST COLLINSVILLE BANK|94037|0|22625|0|71412|655268
29412|FIRST COLLINSVILLE BANK|23993|0|18282|0|5711|655268
29413|FIRST COLLINSVILLE BANK|0|90204|7199|0|83005|655268
29414|NONE|0|0|0|0|0|655271
29416|Chrysler Capital|0|16146|9559|0|6587|655337
29417|NONE|0|0|0|0|0|655345
29418|none|0|0|0|0|0|655385
29419|CHASE|18916|0|5832||13084|655388
29420|N/A|0|0|0|0|0|655398
29421|NONE|0|0|0|0|0|655418
29422|First Niagra|13413||3743||9670|655428
29427|NONE|0|0|0|0|0|655493
29428|NONE|0|0|0|0|0|655494
29429|NONE|0|0|0|0|0|655504
29435|NONE|0|0|0|0|0|655538
29436|NONE|0|0|0|0|0|655596
29437|NONE|0|0|0|0|0|655622
29438|PACIFIC NW IRONWKRS CU|9129|0|3240|0|5889|655636
29439|Ford Motor Credit|7080||1923||5157|655647
29440|Ford Motor Credit|15886||15886||0|655647
29441|Ford Motor Credit|13631||13631||0|655647
29442|Ford Motor Credit|13597||13597||0|655647
29443|Due to Affliates|600000||600000||0|655647
29444|Ford Motor Credit|0|38992|559||38433|655647
29445|Ford Motor Credit|0|31800|455||31345|655647
29446|Ford Motor Credit|0|33008|0||33008|655647
29447|Ford Motor Credit|0|38593|552||38041|655647
29448|Ford Motor Credit|0|33008|0||33008|655647
29449|Ford Motor Credit|0|38887|557||38330|655647
29450|Ford Motor Credit|0|31355|448||30907|655647
29451|NONE|0|0|0|0|0|655663
29452|NONE|0|0|0|0|0|655665
29453|Diamond Credit Union|22833|0|4469|0|18364|655675
29456|N/A|0|0|0|0|0|655694
29457|UNION BANK & TRUST CO|0|2000000|18716|0|1981284|655699
29458|NONE|0|0|0|0|0|655708
29459|Chrysler|8736|623|4376||4983|655719
29460|S&T Bank|1000|1|1001||0|655719
