RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
718743|114730|124037|0|0|106352|109258|639533|639533|0|0|0|0|0|0|||||
734061|429431|423615|||0|0|0|0|0|0|0|0|0|0|||||
722137|487561|495868|||785468|878536|381461|350862|0|0|1440|2266|||||||
728849|38195|25875|||0|0|0|0|0|0|0|0|0|0|||||
718018|8312|7556|||0|0|0|0|0|0|0|0|0|0|||||
718601|91940|93512|||0|0|59|0|0|0|0|0|0|0|||||
724379|124302|121149|||0|0|1300|1761|0|0|0|0|0|0|||||
725707|213871|205043|||0|0|152|152|0|0|1205|0|0|0|||||
720074|40057|63765|||0|0|0|0|0|0|0|0|0|0|||||
725524|198367|183333|||0|0|167|790|0|0|0|0|0|0|||||
719588|29334|27422|||0|0|0|0|0|0|0|0|0|0|||||
727945|43861|51762|||0|0|40116|40116|0|0|0|0|0|0|||||
730415|183734|160496||39901||||0|0|0|||||||||
716282|29402|31521|||0|0|0|0|0|0|0|0|0|0|||||
714216|29886|36157|||0|0|0|0|0|0|0|0|0|0|||||
714935|34916|24496|||0|0|0|0|0|0|0|0|0|0|||||
723858|7944|8087|||0|0|0|0|0|0|0|0|0|0|||||
702798|8232|10122|||64787|49366|9600|9600|0|0|0|0|0|0|||||
729839|76658|110111|||0|0|0|0|0|0|0|0|0|0|||||
732527|4465|6241|||0|0|0|0|0|0|0|0|0|0|||||
727672|63996|51018|||0|0|0|0|0|0|152|152|0|0|||||
722498|23031|34303|||0|0|0|0|0|0|0|0|0|0|||||
723388|0|0|||0|0|0|0|0|0|0|0|0|0|||||
714061|7846|14387|||0|0|0|0|0|0|0|0|0|0|||||
727664|10880|7797|||0|0|495|495|0|0|0|0|0|0|||||
732683|12173|17672|||0|0|0|0|0|0|0|0|0|0|||||
