RPT_ID|ACCOUNTS_PAYABLE_START|ACCOUNTS_PAYABLE_END|LOANS_PAYABLE_START|LOANS_PAYABLE_END|MORTGAGE_PAYABLE_START|MORTGAGE_PAYABLE_END|OTHER_LIABILITIES_START|OTHER_LIABILITIES_END|TOTAL_START
167888|1909|1963|0|0|0|0|0|0|1909
181839|0|1771|0|0|0|0|0|0|0
142379|||||||||
171247|4526|894|5386|631|0|0|0|0|9912
142414|0|0|0|0|0|0|0|0|0
174140|0|0|0|0|0|0|0|0|0
143136|0|0|0|0|0|0|0|0|0
165669|11580|4126|0|0|0|0|0|0|11580
144282|0|0|0|0|0|0|0|0|0
164522|0|0|0|0|0|0|0|0|0
139105|0|0|0|0|0|0|0|0|0
164015|286|501|0|0|0|0|0|0|286
145750|0|0|0|0|0|0|2007|2007|2007
194178|0|0|0|0|0|0|0|0|0
185906|||||||||
171914|355|346|||||||355
143547|0|0|0|0|0|0|0|0|0
178544|||||||208|879|
165602|||||||||
130146|0|0|0|0|0|0|0|0|0
170853|||||||||
140718|0|0|0|0|0|0|0|0|0
140644|0|0|0|0|0|0|0|0|0
178969|0|0|233479|226058|0|0|0|0|233479
142743|0|0|0|0|0|0|0|0|0
173029|0|0|0|0|0|0|0|0|0
140877|0|0|0|0|0|0|0|0|0
171292|0|0|0|0|0|0|972|1072|972
145318|0|0|0|0|0|0|0|0|0
141667|0|0|0|0|0|0|0|0|0
133445|0|0|0|0|0|0|0|0|0
173488|0|0|0|0|0|0|0|0|0
166947|0|0|0|0|0|0|0|0|0
169382|0|0|0|0|0|0|0|0|0
183673|0|0|0|0|0|0|775|600|775
135654|795|795|0|0|0|0|0|0|795
134064|39020|29771|||||||39020
163927|||||||||
138117|0|0|0|0|0|0|0|0|0
137344|27740|26809|0|482320|0||2408|0|30148
138382|||||||260|241|260
140606|0|0|0|0|0|0|0|0|0
165852|0|0|||||||
137059|0|0|0|0|0|0|0|0|0
144451|0|0|0|0|0|0|0|0|0
209589|67000|19077|2600|0|13100|13100|14529|15126|97229
178311|0|0|0|0|0|0|1804|1391|1804
176200|0|0|0|0|0|0|0|0|0
166422|0|0|0|0|0|0|6129|0|6129
171140|||||||552|480|552
164051|0|0|0|0|0|0|0|0|0
164261|0|0|0|0|0|0|295|291|295
236533|0|0|0|0|0|0|0|0|0
145855|0|0|0|0|0|0|0|0|0
170313|0|0|0|0|0|0|347|347|347
144717|||||||1470|1383|1470
165545|0|0|0|0|0|0|0|0|0
174453|0|0|0|0|0|0|0|0|0
143185|0|0|0|0|0|0|0|0|0
144971|0|0|0|0|0|0|0|0|0
168574|0|0|12378|24302|0|0|23188|188290|35566
171627|0|13462|0|3852|0|0|133|116|133
173710|0|0|0|0|0|0|0|0|0
180964|0|0|0|0|0|0|0|0|0
146153|0|0|0|0|0|0|0|0|0
165611|77|71|||||||77
172007|0|0|0|0|0|0|0|0|0
167885|0|0|37402|30859|0|0|4652|1753|42054
145033|0|0|0|0|0|0|0|0|0
203454|0|0|0|0|0|0|430047|42032|430047
164573|442303|499358|0|250000|0|0|6262|9255|448565
166192|0|0|0|0|0|0|0|0|0
174932|191|566|||||||191
143006|0|0|0|0|0|0|8225|8400|8225
170632|0|0|0|0|0|0|0|0|0
167691|0|0|0|0|0|0|11019|15491|11019
144980|0|0|0|0|0|0|0|0|0
173247|0|0|0|0|0|0|0|0|0
144898|||||||||
219782|0|0|0|0|0|0|0|0|0
170284|0|0|0|0|3143|952|0|0|3143
