OID|DISBURSEMENT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
1218800|504|N/A|2004-12-01|0|853603|463535
1218801|504|N/A|2004-12-01|0|853604|463535
126684|501|LEGAL EXPENSE|2004-12-31|4595|84802|278364
126685|501|ARBITATION|2004-12-31|3637|84802|278364
126686|504|INSURANCE|2004-12-31|1587|84803|278364
126687|504|REPAIRS MAINTAINANCE|2004-12-31|3429|84803|278364
126688|504|UTILITIES|2004-12-31|2308|84803|278364
126689|504|OFFICE SUPPLIES TELEPHONE POSTAGE|2004-12-31|8789|84803|278364
126690|504|INTEREST|2004-12-31|1192|84803|278364
126691|504|MORTGAGE|2004-12-31|5925|84803|278364
126692|504|MEETING HALL RENTAL|2004-12-31|2747|84803|278364
126693|504|REFUNDS|2004-12-31|407|84803|278364
126694|504|ACCOUNTING|2004-12-31|407|84803|278364
126695|504|PAYROLL TAXES|2004-12-31|6309|84803|278364
1218336|501|Per Capita|2003-10-27|22766|853329|463386
1218337|501|Per Capita|2003-11-26|22831|853329|463386
1218338|501|Per Capita|2003-12-31|22907|853329|463386
1218339|501|Per Capita|2004-02-11|23870|853329|463386
1218340|501|Per Capita|2004-02-27|22378|853329|463386
1218341|501|Per Capita|2004-03-19|21659|853329|463386
1218342|501|Per Capita|2004-05-14|22338|853329|463386
1218343|501|Per Capita|2004-05-24|22148|853329|463386
1218344|501|Per Capita|2004-06-23|23047|853329|463386
1218345|501|Per Capita|2004-07-27|22535|853329|463386
1218346|501|Per Capita|2004-08-18|22640|853329|463386
1218347|501|Per Capita|2004-09-30|22000|853329|463386
1218348|501|State Employed|2003-11-05|6894|853330|463386
1218349|501|State Employed|2004-05-04|6563|853330|463386
1218350|501|State Employed|2004-08-03|5187|853330|463386
1218351|502|Support Initiative|2004-09-24|6500|853331|463386
1218352|504|Legal Matters|2004-09-30|5473|853336|463386
1218353|504|Legal Matters|2004-05-18|5334|853336|463386
1218354|504|Legal Matters|2004-06-23|7447|853336|463386
1218355|504|Lease Rental of Oakland Office|2003-11-01|8906|853346|463386
1218356|504|Lease Rental of Oakland Office|2003-12-01|8906|853346|463386
1218357|504|Lease Rental of Oakland Office|2004-01-01|8906|853346|463386
1218358|504|Lease Rental of Oakland Office|2004-02-01|8906|853346|463386
1218359|504|Lease Rental of Oakland Office|2004-03-01|8906|853346|463386
1218360|504|Lease Rental of Oakland Office|2004-04-01|9169|853346|463386
1218361|504|Lease Rental of Oakland Office|2004-05-01|9169|853346|463386
1218362|504|Operating for Lease|2004-05-18|2938|853346|463386
1218363|504|Lease Rental of Oakland Office|2004-06-01|9169|853346|463386
1218364|504|Lease Rental of Oakland Office|2004-07-01|9904|853346|463386
1218365|504|Lease Rental of Oakland Office|2004-08-01|9414|853346|463386
1218366|504|Lease Rental of Oakland Office|2004-09-01|9414|853346|463386
1218367|504|Lease Rental of Oakland Office|2004-09-30|8906|853346|463386
1218459|505|LEGAL EXPENSES|2004-09-03|7593|853391|463448
50186|504|INSURANCE|2004-12-31|4099|32163|267819
50187|504|BUILDING EXPENSES|2004-12-31|106035|32163|267819
50188|504|POSTAGE+|2004-12-31|7879|32163|267819
50189|504|TELEPHONE|2004-12-31|14144|32163|267819
50190|505|DISBURSING OFFICERS|2004-12-31|9249|32164|267819
50277|504|ACCOUNTING FEES|2004-12-31|4815|32274|267870
50278|504|LEGAL FEES|2004-12-31|128|32274|267870
50279|504|SUPPLIES|2004-12-31|13157|32274|267870
50280|504|TELEPHONE|2004-12-31|5613|32274|267870
50281|504|POSTAGE AND SHIPPING|2004-12-31|706|32274|267870
50282|504|OCCUPANCY|2004-12-31|23117|32274|267870
50283|504|EQUIPMENT RENT/MAINTENANCE|2004-12-31|8836|32274|267870
50284|504|PRINTING AND PUBLICATIONS|2004-12-31|147|32274|267870
50285|504|TRAVEL|2004-12-31|1414|32274|267870
50286|504|CONFERENCE & CONVENTIONS|2004-12-31|27062|32274|267870
50287|504|OTHER EXPENSES|2004-12-31|7407|32274|267870
1218460|503|GIFTS|2004-12-31|15532|853392|463454
1218461|503|DONATIONS|2004-12-31|565|853392|463454
1218462|503|DOOR PRIZES|2004-12-31|6564|853392|463454
1218463|504|BANK SERVICE CHARGES|2004-12-31|767|853393|463454
1218464|504|COPY MACHINE|2004-12-31|6386|853393|463454
1218465|504|DUES AND SUBSCRIPTIONS|2004-12-31|2132|853393|463454
1218466|504|INSURANCE|2004-12-31|13752|853393|463454
1218467|504|MILEAGE|2004-12-31|22696|853393|463454
1218468|504|REPAIRS & MAINT AND MISC. EXP|2004-12-31|40979|853393|463454
1218469|504|OFFICE SUPPLIES|2004-12-31|6003|853393|463454
1218470|504|POSTAGE|2004-12-31|8546|853393|463454
1218471|504|PRINT|2004-12-31|172|853393|463454
1218472|504|PROFESSIONAL FEES|2004-12-31|12035|853393|463454
1218473|504|PROMOTION|2004-12-31|2103|853393|463454
1218474|504|STORAGE|2004-12-31|607|853393|463454
1218475|504|TELEPHONE|2004-12-31|17955|853393|463454
1218476|505|PAYROLL|2004-12-31|168493|853394|463454
1218477|505|MEALS, TRAVEL AND ENTERTAINMENT|2004-12-31|32509|853394|463454
1218478|505|TRAINING|2004-12-31|559|853394|463454
569185|504|PROFESSIONAL FEES|2004-12-31|284521|396087|364870
50733|504|Overhead - Utilities|2004-12-31|0|32565|268310
50734|504|PROPERTY TAXES|2004-12-31|0|32566|268310
1218501|501|LEASE -  AUTOMOBILE|2004-12-31|6312|853418|463458
1218502|504|MORTGAGE PAYMENTS|2004-12-31|48787|853419|463458
1218503|505|ACCOUNTING SERVICES|2004-12-31|6500|853420|463458
1219759|504|Property Insurance|2004-12-03|5178|854040|463799
1219760|504|Bond|2004-08-27|598|854040|463799
1219761|504|Property Tax|2004-07-30|5249|854041|463799
1219762|504|Property Tax|2004-11-05|5249|854041|463799
1219763|505|Facility Rental|2004-01-14|7939|854042|463799
1219764|505|Facility Rental|2004-01-16|7939|854042|463799
1218603|504|RENT|2004-12-31|5500|853469|463491
1218604|504|ADVERTISING COSTS FOR AD BOOK|2004-12-31|12575|853470|463491
1218624|505|Conventions & Meetings|2004-12-31|76606|853494|463503
1218625|505|Dues Refunded|2004-12-31|24803|853494|463503
1218626|505|Supplies|2004-12-31|21496|853494|463503
1218627|505|Occupancy|2004-12-31|23347|853494|463503
1218628|505|Printing|2004-12-31|16215|853494|463503
1218629|505|Charitable event MDA|2004-12-31|8438|853494|463503
1218630|505|Retiree's Dinner, Christmas Party etc|2004-12-31|6911|853494|463503
1218631|505|Travel|2004-12-31|1241|853494|463503
1218632|505|Equipment Repair & Maintenance|2004-12-31|1739|853494|463503
1218633|505|Postage|2004-12-31|4207|853494|463503
1218634|505|Phone|2004-12-31|6883|853494|463503
1218635|505|Professional Fees|2004-12-31|793|853494|463503
1218636|505|Other|2004-12-31|864|853494|463503
1218637|503|Gifts to local Tax Exempt Org on behalf of Members|2004-12-31|2700|853497|463504
1218638|503|Muscular Dystrophy|2004-12-31|942|853497|463504
1218639|505|Telephone|2004-12-31|10126|853498|463504
1218640|505|Supplies|2004-12-31|4624|853498|463504
1218641|505|Printing|2004-12-31|2715|853498|463504
1218642|505|Postage|2004-12-31|1929|853498|463504
1218643|505|Utilities|2004-12-31|4232|853498|463504
1218644|505|Building Repairs & Maintenance & Storm Repair|2004-12-31|76161|853498|463504
1218645|505|Property Taxes|2004-12-31|17054|853498|463504
1218646|505|Equipment Repairs & Maintenance|2004-12-31|303|853498|463504
1218647|505|Bank Charges|2004-12-31|451|853498|463504
1218648|505|Security|2004-12-31|434|853498|463504
1218649|505|License Fees & Permits|2004-12-31|15|853498|463504
1218650|505|Miscellaneous|2004-12-31|105|853498|463504
1218651|505|Meetings & Conferences|2004-12-31|7571|853498|463504
1218652|505|Subscriptions & Publications|2004-12-31|44|853499|463504
1218653|505|Pager Expense|2004-12-31|1021|853499|463504
1218654|505|Insurance|2004-12-31|2823|853499|463504
1218655|505|Bookkeeping|2004-12-31|4085|853499|463504
1218656|505|Labor Council Dues|2004-12-31|3340|853499|463504
1218657|505|Entertainment|2004-12-31|6673|853499|463504
1218658|505|Promotional|2004-12-31|300|853499|463504
1218659|505|Interest Expense|2004-12-31|3282|853499|463504
1218660|505|State & National Convention|2004-12-31|13037|853499|463504
1218661|505|Building Principal|2004-12-31|22642|853499|463504
45854|501|BILLING EXPENSE|2004-12-31|12425|29353|263415
45855|501|MEETING EXPENSE|2004-12-31|55487|29353|263415
45856|501|UNIFORMS|2004-12-31|10679|29353|263415
45857|501|TRAVEL|2004-12-31|1731|29353|263415
45858|501|MEALS & ENTERTAINMENT|2004-12-31|4464|29353|263415
45859|501|MEMBER SUPPORT|2004-12-31|20484|29353|263415
45860|503|CHARITY|2004-12-31|250|29354|263415
45861|503|CHARITY|2004-12-31|500|29354|263415
45862|503|CHARITY|2004-12-31|2848|29354|263415
45863|504|EQUIPMENT RENTAL|2004-12-31|5473|29355|263415
45864|504|INSURANCE|2004-12-31|14135|29355|263415
45865|504|RENT|2004-12-31|33946|29355|263415
45866|504|UTILITIES|2004-12-31|4661|29355|263415
45867|505|OFFICE EXPENSES|2004-12-31|19267|29356|263415
45868|505|AUTO EXPENSE|2004-12-31|22407|29356|263415
45869|505|BANK CHARGES|2004-12-31|6238|29356|263415
45870|505|CUMPUTER EXPENSE|2004-12-31|12592|29356|263415
45871|505|CREDIT CARD EXPENSE|2004-12-31|973|29356|263415
45872|505|POSTAGE|2004-12-31|9483|29356|263415
45873|505|INTEREST EXPENSE|2004-12-31|37219|29356|263415
45874|505|INTERNET FEES|2004-12-31|10323|29356|263415
45875|505|GENERAL ORGANIZATION EXPENSE|2004-12-31|24655|29356|263415
45876|505|MISCELLANEOUS REPAIRS|2004-12-31|4886|29356|263415
45877|505|TELEPHONE|2004-12-31|78352|29356|263415
45878|505|TEMP HELP|2004-12-31|24567|29356|263415
45879|505|PROFESSIONAL FEES|2004-12-31|119247|29356|263415
45880|505|GARNISHED WAGES|2004-12-31|13234|29357|263415
211|505|State dues for 777 members|2004-05-10|5284|210|229197
212|505|2004 Tri-state expense|2004-01-06|6998|211|229197
213|505|2004 National Convention Hotel for 14 Delegates|2004-08-10|16080|212|229197
534|505|Printing|2004-12-31|7595|356|238611
535|505|Copier Equipment Rental|2004-12-31|12009|357|238611
560|501|REPRESENTATION ISSUES|2004-12-31|0|420|241927
561|501|UNION PRINTING OF PROMOTIONAL MATERIALS|2004-12-31|0|421|241927
562|505|NEWSLETTERS, FLYERS FOR MEMBER EDUCATION|2004-12-31|0|422|241927
563|505|REGISTRATION FOR NATIONAL CONVENTION|2004-09-21|5250|423|241927
564|505|PROMOTIONAL GIVEAWAYS|2004-12-31|0|424|241927
1218172|504|Office and Administrative Supplies|2004-02-28|29880|853184|463288
1218173|504|Professional Fees|2004-02-28|26422|853184|463288
1218174|505|Conference Travel Expenses|2004-02-28|103761|853185|463288
1218175|505|Payroll Taxes|2004-02-28|2968|853185|463288
51269|503|Donation|2004-04-05|50|33247|268649
51270|503|Card|2004-09-24|25|33248|268649
51271|504|Office Expense|2004-12-31|15798|33249|268649
51272|504|Employee Salary|2004-12-31|55783|33249|268649
51273|504|Officers Salary|2004-12-31|2620|33249|268649
51274|505|Convention and Registration|2004-12-31|18346|33250|268649
51275|505|Entertainment and Awards|2004-12-31|1411|33250|268649
51276|505|Meals/ Hospitality|2004-12-31|19123|33250|268649
51277|505|Recuriting Incentives|2004-12-31|3690|33250|268649
51278|505|Training|2004-12-31|685|33250|268649
51279|505|Election Expense|2004-12-31|1438|33250|268649
51280|505|Program Expense|2004-12-31|2809|33250|268649
51281|505|Arbitration|2004-12-31|730|33250|268649
1219386|501|Legal Representation|2003-07-30|2000|853835|463691
1219387|501|Legal Representation|2003-09-11|2500|853835|463691
1219388|501|Legal Representation|2004-03-11|3000|853835|463691
52056|501|Arbitration|2004-12-31|3007|33719|268922
52057|503|Awards and gifts|2004-12-31|50|33720|268922
52058|503|Contributions|2004-12-31|35|33720|268922
52059|504|Alarm system|2004-12-31|294|33721|268922
52060|504|Auto expense|2004-12-31|2503|33721|268922
52061|504|Bank service charges|2004-12-31|947|33721|268922
52062|504|Chaperone fees|2004-12-31|7878|33721|268922
52063|504|Depreciation expense|2004-12-31|10727|33721|268922
52064|504|Dues and subscriptions|2004-12-31|201|33721|268922
52065|504|Entertainment|2004-12-31|1894|33721|268922
52066|504|Equipment rental|2004-12-31|3082|33721|268922
52067|504|iInsurance|2004-12-31|10484|33721|268922
52068|504|Interest expense|2004-12-31|12627|33721|268922
52069|504|Janitorial|2004-12-31|6904|33721|268922
52070|504|Lot cleanup|2004-12-31|35|33721|268922
52071|504|Miscellaneous|2004-12-31|1242|33721|268922
52072|504|Office supplies|2004-12-31|3349|33722|268922
52073|504|Organization expenses|2004-12-31|13739|33722|268922
52074|504|Postage|2004-12-31|1664|33722|268922
52075|504|Printing|2004-12-31|459|33722|268922
52076|504|Repairs and maintenance|2004-12-31|7857|33722|268922
52077|504|Security|2004-12-31|4487|33722|268922
52078|504|Supplies|2004-12-31|908|33722|268922
52079|504|Telephone|2004-12-31|12187|33722|268922
52080|504|Utilities|2004-12-31|6727|33722|268922
52081|505|Legal and accounting|2004-12-31|6514|33723|268922
52082|505|Officers' Saleries|2004-12-31|170813|33723|268922
52083|505|Employees' Saleries|2004-12-31|15488|33723|268922
52084|505|Travel|2004-12-31|33283|33723|268922
52085|505|Training and education|2004-12-31|7689|33723|268922
52086|505|Picnics and banquets|2004-12-31|3434|33723|268922
52087|505|Professional fees|2004-12-31|795|33723|268922
52695|503|Benevolent Fund ( several dates)|2004-12-30|202|34379|269236
52696|504|Rent|2004-12-30|66375|34380|269236
52697|504|Utilities|2004-12-30|15014|34380|269236
52698|504|Other Expenses|2004-12-30|18319|34380|269236
52699|504|Insurance|2004-12-30|8220|34380|269236
52700|504|Printing|2004-12-30|2989|34380|269236
52701|504|Equipment Rental & Maintenance|2004-12-30|17005|34380|269236
52702|504|Equipment Purchases|2004-12-30|7171|34380|269236
52703|504|Licenses & Taxes|2004-12-30|1035|34380|269236
52704|505|Travel & Seminars|2004-12-30|3113|34381|269236
52705|505|New Member Rebates|2004-12-30|420|34381|269236
52706|505|Steward Dues & Reimbursements|2004-12-30|7300|34381|269236
52707|505|Election Expenses|2004-12-30|8680|34381|269236
52708|505|Convention Expense|2004-12-30|35211|34381|269236
52709|505|Entertainment Expense|2004-12-30|602|34381|269236
52710|505|Taxes Federal|2004-12-30|1154|34381|269236
52711|505|Tax Penalty|2004-12-30|56|34381|269236
52712|505|Professional Fees ( lawyer/audit|2004-12-30|13050|34381|269236
1218605|501|ARBITRATION REPRESENTATION|2004-12-31|1218|853474|463501
1218606|501|REPRESENTATION/ARBITRATION|2004-12-31|424|853475|463501
1218607|501|REPRESENTATION/ARBITRATION|2004-12-31|3158|853476|463501
1218608|501|REPRESENTATION/ARBITRATION|2004-12-31|1282|853477|463501
1218609|501|LEGISLATIVE LIAISON/REPRESENTATION|2004-12-31|60000|853478|463501
1218610|501|ARBITRATION/REPRESENTATION|2004-12-31|1052|853479|463501
1218611|501|REPRESENTATION/ARBITRATION|2004-12-31|1218|853480|463501
1218612|501|ARBITRATION/REPRESENTATION|2004-12-31|1052|853481|463501
1218613|501|ARBITRATION/REPRESENTATION|2004-12-31|700|853482|463501
1218614|501|ARBITRATION/REPRESENTATION|2004-12-31|350|853483|463501
1218615|501|ARBITRATION/REPRESENTATION|2004-12-31|2272|853484|463501
1218616|501|ADVICE/REPRESENTATION|2004-12-31|1200|853485|463501
1218617|504|PAYROLL TAXES - EMPLOYER'S SHARE|2004-12-31|10040|853486|463501
1218618|504|PRINTING|2004-12-31|4740|853487|463501
1218619|504|TELEPHONE STATIONERY, SUPPLIES, BANK FEES|2004-12-31|8773|853488|463501
1218620|505|ACCOUNTING SERVICES|2004-12-31|2400|853489|463501
1218621|505|MINIMAL AMOUNTS - TRAINING SESSIONS|2004-12-31|398|853490|463501
1218622|505|WEBSITE DESIGN AND MAINTENANCE|2004-12-31|4101|853491|463501
1218623|505|SUPPLIES, TRAVEL & HONORARIA LEGIS CONF|2004-12-31|14098|853492|463501
1219304|503|Contribution|2004-05-12|1000|853793|463674
1219305|503|Reject our 55 mailing to AFT Washington members|2004-10-08|2341|853794|463674
1219306|504|Audit|2004-03-15|5900|853795|463674
1219307|504|Telephone|2004-01-07|441|853796|463674
1219308|504|Telephone|2004-02-07|421|853796|463674
1219309|504|Telephone|2004-03-07|455|853796|463674
1219310|504|Telephone|2004-04-07|443|853796|463674
1219311|504|Telephone|2004-05-07|433|853796|463674
1219312|504|Telephone|2004-06-07|444|853796|463674
1219313|504|Telephone|2004-07-07|459|853796|463674
1219314|504|Telephone|2004-08-07|445|853796|463674
1219315|504|Telephone|2004-09-07|447|853796|463674
1219316|504|Telephone|2004-10-07|443|853796|463674
1219317|504|Telephone|2004-11-07|482|853796|463674
1219318|504|Telephone|2004-12-07|470|853796|463674
1219319|504|Convention|2004-05-12|1089|853797|463674
1219320|504|Convention|2004-05-12|2381|853797|463674
1219321|504|Convention|2004-04-29|4000|853797|463674
1219322|504|Legal|2004-02-10|3300|853798|463674
1219323|504|Legal|2004-05-18|9496|853798|463674
1219324|504|Legal|2004-07-31|8793|853798|463674
1219325|504|Rent|2004-01-07|3659|853799|463674
1219326|504|Rent|2004-02-03|3659|853799|463674
1219327|504|Rent|2004-03-05|3659|853799|463674
1219328|504|Rent|2004-04-08|3659|853799|463674
1219329|504|Rent|2004-05-06|3659|853799|463674
1219330|504|Rent|2004-06-02|3768|853799|463674
1219331|504|Rent|2004-07-07|3768|853799|463674
1219332|504|Rent|2004-08-04|3768|853799|463674
1219333|504|Rent|2004-09-08|3768|853799|463674
1219334|504|Rent|2004-10-08|3768|853799|463674
1219335|504|Rent|2004-11-09|3768|853799|463674
1219336|504|Rent|2004-12-08|3768|853799|463674
1219337|504|Mailing|2004-01-15|600|853800|463674
1219338|504|Mailing|2004-01-15|150|853800|463674
1219339|504|Mailing|2004-01-15|600|853800|463674
1219340|504|Mailing|2004-01-15|700|853800|463674
1219341|504|Mailing|2004-01-15|150|853800|463674
1219342|504|Mailing|2004-01-15|600|853800|463674
1219343|504|Mailing|2004-01-15|750|853800|463674
1219344|504|Mailing|2004-01-15|200|853800|463674
1219345|504|Mailing|2004-01-15|900|853800|463674
1219346|504|Mailing|2004-01-15|1500|853800|463674
1219347|504|Mailing|2004-01-15|700|853800|463674
1219348|504|Mailing|2004-01-15|1400|853800|463674
1219349|504|Newsletter|2004-03-29|1347|853801|463674
1219350|504|Newsletter|2004-08-30|1325|853801|463674
1219351|504|Newsletter|2004-09-08|676|853801|463674
1219352|504|Newsletter|2004-10-26|1746|853801|463674
1219353|504|Newsletter|2004-11-17|542|853801|463674
157519|501|LEGAL|2004-05-01|6910|105859|296613
157520|501|ACCOUNTING|2004-04-15|2145|105860|296613
1219654|502|PAC FUND DISTRIBUTING|2004-12-01|27870|854016|463699
1219655|503|SCHOLARSHIP|2004-12-01|6643|854017|463699
1219656|504|INSURANCE BUILDING|2004-12-01|2700|854018|463699
1219657|504|REPAIR & MAINT|2004-12-01|6443|854018|463699
1219658|504|OCCUPANCY|2004-12-01|12578|854018|463699
1219659|504|INTEREST|2004-12-01|9128|854018|463699
1219660|504|TELEPHONES|2004-12-01|6912|854018|463699
1219661|504|POSTAGE/SHIPPING|2004-12-01|3431|854018|463699
1219662|504|EQUIPMENT RENTAL|2004-12-01|6284|854018|463699
1219663|504|EMPLOYEE BENEFITS|2004-12-01|7274|854018|463699
1219664|505|AUTO EXPENSE|2004-12-01|23812|854019|463699
1219665|505|AUTO LEASING|2004-12-01|25743|854019|463699
1219666|505|BANK CHARGES|2004-12-01|2178|854019|463699
1219667|505|COMMITTEE LEGISLATION|2004-12-01|24955|854019|463699
1219668|505|DUES & SUSCRIPTIONS|2004-12-01|7122|854019|463699
1219669|505|GOOD & WELFARE|2004-12-01|6230|854019|463699
1219670|505|OFFICE & ADMINISTRATIVE|2004-12-01|16383|854019|463699
1219671|505|OFFICERS EXPENSE|2004-12-01|77526|854019|463699
1219672|505|ORGANIZATIONAL|2004-12-01|38656|854019|463699
1219673|505|PICNIC, GOLF, DINNERS, XMAS|2004-12-01|126466|854019|463699
1219674|505|PUBLIC AFFAIRS|2004-12-01|7047|854019|463699
1219675|505|LEGAL FEES|2004-12-01|50482|854019|463699
1219676|505|ACCOUNTING FEES|2004-12-01|4000|854019|463699
1219677|505|PROFESSIONAL FUND RAISING|2004-12-01|107553|854020|463699
1219678|505|CONFERENCES/CONVENTIONS/MEETINGS/|2004-12-01|72298|854021|463699
1219679|505|SPECIAL ORDERS|2004-12-01|19904|854021|463699
1219680|505|UTILITIES|2004-12-01|4908|854021|463699
1219681|505|MISC EXPENSE|2004-12-01|2193|854021|463699
1218815|501|UNION RATE OF PAY|2004-04-01|9750|853619|463544
1218816|501|UNION RATE OF PAY|2004-05-26|200|853620|463544
1218817|501|UNION RATE OF PAY|2004-05-26|200|853621|463544
1218818|501|UNION RATE OF PAY|2004-12-31|12375|853622|463544
1218819|504|MAGAZINE PRINTING|2004-12-31|14496|853623|463544
1218820|504|RENT|2004-12-31|17114|853623|463544
1218821|504|PHONE|2004-12-31|2910|853623|463544
1218822|504|ONLINE COMPUTER|2004-12-31|1853|853623|463544
1218823|504|POSTAGE|2004-12-31|7418|853623|463544
1218824|504|MAINTENANCE|2004-12-31|1878|853623|463544
1218825|504|INSURANCE|2004-12-31|3748|853623|463544
1218826|504|OFFICE SUPPLIES|2004-12-31|9022|853623|463544
1218827|504|ACCOUNTING FEE|2004-12-31|6902|853623|463544
