OID|INV_TYPE|DESCRIPTION|COST|BOOK_VALUE|GROSS_SALES_PRICE|AMOUNT_RECD|RPT_ID
24900||MARKETABLE SECURITIES|332075|333823|333823|333823|350461
16810||US TREASURY BILLS|395458|395458|400000|400000|333203
17352||Pimco Low Duration|156940|153949|153949|153949|333710
17357||1999 Ford Ranger|17007|5301|2500|2500|333710
17356||1999 Dodge Intrepid|23197|0|1500|1500|333710
17355||1997 Mercury Marquis|26434|0|1500|1500|333710
17354||Vanguard ST|63848|63848|63848|63848|333710
17353||Pimco Short Term|246038|245038|245038|245038|333710
27827||CHEVY TAHOE|27904|11162|0|13220|367806
27828||NEW YORK LIFE ANNUITY|9324|9324|9324|9324|367806
24793||Amalgamated Bk of NY
Common Stk-10,295 Shs-ClassA|122202|122202|3530300|3530300|350295
24795||Automobiles
Sold in Yr-2007|215203|74600|74600|74600|350295
24794||FNMA
Principal Received|4680|4680|4680|4680|350295
26122||Folding Machine|1500|1500|0|750|351971
26120||2 Storage Containers|4000|4000|0|2200|351971
26121||Auditorium Tables & Chairs|9170|9170|0|1240|351971
26123||Miscellaneous Furniture/Equipment at Garage Sale|0|0|0|319|351971
26048||MARKETABLE SECURITIES|396769|396769|405861|405861|351748
18743||SALE OF LAND EASEMENT
BURNS HARBOR, IN 46304|17250|17250|87800|87800|337274
18969||EQUITY AND FIXED INCOME SECURITIES|1471617|1471617|1469556|1469556|338530
17973||SALE OF MARKETABLE SECURITIES - MUTUAL FUNDS|79166|79166|110076|110076|335074
17745||NONE|0|0|0|0|334726
24826||AUTOMOBILES|47393|12739|7800|7800|350404
24827||TRAILER|2500|298|1000|1000|350404
15308||MARKETABLE SECURITIES|50000|50000|50000|50000|327681
17753||American Mortgage|26250|25743|29755|29755|334763
17760||First Trust Dow Target April 2006|68241|67138|67595|67595|334763
17759||Van Kampen Developing Technologies|49418|44150|49544|49544|334763
17758||Van Kampen Diversified Health Care|25233|23423|25177|25177|334763
17757||Hartford Capital Appreciation|28240|38994|38994|38994|334763
17756||Nuveen Equity Premium|50000|45375|46744|46744|334763
17755||FHLMC 3184|50500|50500|50015|50015|334763
17754||FHLMC 2905|25256|23501|23221|23221|334763
23855||Smith Barney Investment Account|9566|9566|10056|10056|349007
20760||N/A|0|0|0|0|343301
18840||STOCKS|992486|992486|1060068|1060068|337882
18845||COMPUTER EQUIPMENT|1540|1540|1540|1540|337882
18844||AUTOMOBILES|786891|297236|203554|203554|337882
18843||CORPORATE BONDS|1314186|1314186|1387642|1387642|337882
18842||US GOVT. AGENCY|21935857|21935857|21951306|21951306|337882
18841||US TREASURIES|9259062|9259062|9273441|9273441|337882
29045||VARIOUS MARKETABLE SECURITES|14671|14671|16063|16063|369049
17549||Marketable Securities|10799520|10903500|10903500|10903500|334290
17492||CMA Reserve Fund|160300|160300|160300|160300|334235
17490||Certificate of Deposit-MBNA America|33000|33000|33000|33000|334235
17491||Certificate of Deposit-FirstBank PR|35000|35000|35000|35000|334235
17493||Certificate of Deposit-Countrywide Bank|30000|30000|30000|30000|334235
17585||FLAGSTAR BANK CD|24000|24000|24000|24000|334421
17587||CAPITOL ONE BANK CD|35000|35000|35000|35000|334421
17586||COUNTRYWIDE BANK CD|20000|20000|20000|20000|334421
24694||BUILDING - 6922 HAMILTON AVE. CINCINANTI, OH 45231|172608|120081|530000|509358|350026
15199||None|0|0|0|0|326915
25858||SOLD SHARES OF HUNTINGTON MONEY MARKET|28000|28610|28610|28610|351620
23259||COPIER|3500|0|300|300|348384
23278||NONE|0|0|0|0|348439
20933||SALE OF INTEREST IN REAL ESTATE (% of Bldg)|626984|626984|1692033|1692033|344402
24940||UBS Securities- Seymour Scholaship Fund|65168|65168|65000|65000|350514
25566||NONE|0|0|0|0|351214
24883||Repurchase Agreements 01/01/2007|487257|487257|487257|487257|350458
24891||Repurchase Agreements 09/27/2007|97650|97650|97650|97650|350458
24890||Repurchase Agreements 07/18/2007|99738|99738|99738|99738|350458
24889||Repurchase Agreements 07/10/2007|299901|299901|299901|299901|350458
24888||Repurchase Agreements 01/25/2007|9283|9283|9283|9283|350458
24887||Repurchase Agreements 03/01/2007|97650|97650|97650|97650|350458
24886||Repuchase Agreements 01/18/2007|99738|99738|99738|99738|350458
24885||Repurchase Agreements 02/10/2007|75000|75000|75000|75000|350458
24884||Repurchase Agreements 01/10/2007|299901|299901|299901|299901|350458
20504||Land Easement 1842 Candler Rd|0|0|46353|46353|342644
27287||Moergan Stanley Government Securities fund|124154|130784|130784|130784|364678
27289||Vanguard GNMA fund|57930|70884|70884|70884|364678
27288||Vanguard Index 500 fund|53186|57382|57382|57382|364678
25302||Building , 3930 Jackson Ave., Memphis, TN  38126|227124|107447|140000|140000|350943
25303||Land, 3930 Jackson Ave, Memphis, TN  38126|25000|25000|25000|25000|350943
20502||None|0|0|0|0|342613
17082||MONEY MARKET|137587|137587|137587|137587|333255
17083||RETURN OF PRINCIPAL|53613|53613|53613|53613|333255
17564||PENTAX ZX30 SLR CAMERA - SOLD BY BID|377|67|100|100|334384
17567||FAX MACHINE - JUNKED|120|28|0|0|334384
17566||FAX MACHINE - JUNKED|140|0|0|0|334384
17565||HP7410 MULTI-FUNCTION PRINTER - REPLACED BY WRNTY|0|0|0|0|334384
25648||Evergreen Equity TR Asset Allocation Fund - EACFX|7494|7494|8043|8043|351388
25650||Lord Abbet Diversified Income Fund - ISFCX|54993|54993|54213|54213|351388
25649||Target Conservative Allocation Fund - PCCFX|7494|7494|8274|8274|351388
23915||VARIOUS SECURITIES|4058235|4058235|4080082|4080082|349147
20403||COPIER|3061|0|65|65|341475
17513||None|0|0|0|0|334266
23294||NONE|0|0|0|0|348447
30493||Carpet|9621|4773|0|0|374945
25718||Sale of Stocks and Bonds|1803462|1803462|2436565|2436565|351527
25720||Building - 5800 Ironhorse Road, Richmond, VA|206762|206762|273743|273743|351527
25719||Land - 5800 Ironhorse Road, Richmond, VA|35000|35000|46259|46259|351527
26214||NONE|0|0|0|0|354084
19336||Land, Bldg & Imp - 1904 Arch St, Philadelphia, PA|973858|656182|3553500|2453500|339917
24302||DISPOSAL OF FIXED ASSETS-NO LONGER USED, SCRAPPED|72030|8013|0|0|349783
24786||NONE|0|0|0|0|350265
23695||Furniture|60538|1975|0|0|348896
26903||US Government and Agency Bonds|3708360|3708360|3710000|3710000|362795
26904||Mutual Funds|84519|84519|79742|79742|362795
27866||Sale of Vacant Lot - Atlanta, GA|0|0|51450|51450|367899
24818||CORPORATE BONDS|50000|50000|50000|50000|350365
24819||MUTUAL FUNDS|230485|230485|285000|285000|350365
26724||NTEU Union Bonds|28859|28859|30545|30545|360793
26730||Fixed Assets (scrapped items)|557177|0|0|0|360793
26729||US Treasury|438021|438021|446018|446018|360793
26728||NTEU Union Mututal Funds|2145000|2145000|2518733|2518733|360793
26727||NTEU Union Equities|3044594|3031047|3425819|3425819|360793
26726||NTEU Trust Mutual Funds|12567|12567|12567|12567|360793
26725||NTEU Trust Equities|80508|80508|82143|82143|360793
24294||SURPLUS OFFICE EQUIPMENT|36271|3418|0|0|349770
25661||INVESTMENT - FUNDAMENTAL INVESTORS 6 SHS|187|187|271|271|351413
50307||NONE|0|0|0|0|438349
20530||NONE|0|0|0|0|342796
26154||NONE|0|0|0|0|352564
20537||CHEVY BLAZER|25370|7806|2300|2300|343175
26902||none|0|0|0|0|362694
26125||REDEMPTION OF SMITH BARNEY CITIGROUP INVESTMENTS|694586|694586|694586|694586|352099
37151||VEHICLES|23201|0|9000|9000|392170
18270||Office furniture and equipment|7118|329|0|0|335497
18271||Investments (7219 shares EIG stock)|0|143658|143658|142917|335497
23312||FHLMC 4% NOTE|30000|30000|29715|29715|348462
23318||300 SHARES US BANCORP|8673|8673|9306|9306|348462
23317||300 SHARES GENERAL MOTORS|9742|9742|6478|6478|348462
