OID|INV_TYPE|NAME|AMOUNT|RPT_ID
100776|701|N/A|0|409951
100777|702|N/A|0|409951
103131|701|AMER EXPRESS BANK CERTIFICATE OF DEPOSIT|99074|414021
103132|701|GOLDMAN SACHS BK USA CERTIFICATE OF DEPOSIT|98235|414021
103133|701|GENERAL ELECTRIC CAP CORP SER NOTZ|208068|414021
103134|703|Marketable Securities Total Cost|394000|414021
103135|704|Marketable Securities Total BookValue|405377|414021
103136|702|ANDOVER ASSOCIATES LP|392104|414021
103137|705|Other Investments Total Cost|400000|414021
103138|706|Other Investments Total Book Value|392104|414021
115495|701|N/A|0|426662
115496|702|N/A|0|426662
93386|701|N/A|0|401566
93387|702|AMALGAMATED BANK OF CHICAGO COMMON INV. TRUST|244207|401566
93388|705|Other Investments Total Cost|242805|401566
93389|706|Other Investments Total Book Value|244207|401566
92841|701|N/A|0|400401
92842|702|N/A|0|400401
95877|701|GEN ELEC CAP CORP 4.8% NOTE DUE 05/01/13|101343|403243
95878|701|LOOMIS SAYLES BOND FUND|156232|403243
95879|701|VANGUARD GNMA FUND|74079|403243
95880|701|VANGUARD SHORT TERM TREASURY|138298|403243
95881|704|Marketable Securities Total BookValue|732292|403243
95882|702|SHEET METAL WORKERS LOCAL UNION NO 9 BUILDING ASSO|712028|403243
95883|705|Other Investments Total Cost|1149143|403243
95884|706|Other Investments Total Book Value|712028|403243
96844|701|N/A|0|403674
96845|702|N/A|0|403674
97604|701|N/A|0|403991
97605|702|N/A|0|403991
106868|701|N/A|0|417252
106869|702|N/A|0|417252
112206|701|N/A|0|420084
112207|702|N/A|0|420084
105536|702|N/A|0|416330
105535|701|N/A|0|416330
108793|701|N/A|0|418236
108794|702|N/A|0|418236
111462|701|N/A|0|419696
111463|702|N/A|0|419696
111371|701|N/A|0|419658
111372|702|Amalgamated Bank of New York - Common Stock|1314689|419658
111373|705|Other Investments Total Cost|1326219|419658
111374|706|Other Investments Total Book Value|1326219|419658
112400|701|WACHOVIA|8000|420155
112401|701|ADVANTA NOTE|6000|420155
112402|703|Marketable Securities Total Cost|14000|420155
112403|704|Marketable Securities Total BookValue|14000|420155
112404|702|N/A|0|420155
109586|701|N/A|0|418646
109587|702|N/A|0|418646
108652|701|N/A|0|418083
108653|702|N/A|0|418083
116268|701|N/A|0|430730
116269|702|N/A|0|430730
117618|701|N/A|0|433561
117619|702|N/A|0|433561
112791|701|N/A|0|420373
112792|702|N/A|0|420373
115877|701|N/A|0|429204
115878|703|Marketable Securities Total Cost|1098124|429204
115879|704|Marketable Securities Total BookValue|1193318|429204
115880|702|N/A|0|429204
115881|705|Other Investments Total Cost|297943|429204
115882|706|Other Investments Total Book Value|297943|429204
95011|701|N/A|0|403012
95012|702|N/A|0|403012
116842|701|N/A|0|431929
116843|702|N/A|0|431929
99621|701|N/A|0|407450
99622|702|N/A|0|407450
98739|701|N/A|0|405817
98740|702|N/A|0|405817
99822|702|N/A|0|407795
99814|701|JP Morgan Savings|48309|407795
99823|702|N/A|0|407795
99824|702|N/A|0|407795
99825|702|N/A|0|407795
99815|701|Alliance Bernstein|17056|407795
99816|701|FTJ Fun Choice AAMA Capital Preservation|19368|407795
99817|701|TFJ Choice Funds Litman/Gregory Balanced Income|26725|407795
