OID|DESCRIPTION|COST_BASIS|DEPRECIATION|BOOK_VALUE|VALUE|ASSET_TYPE|RPT_ID
174964||62539|37187|25352|0|303|482785
174965||57452|54274|3178|0|304|482785
174966||||||305|482785
179275|Land (402 37th Street, Richmond CA)|155000|0|155000|155000|301|489627
179276|Building (402 37th Street, Richmond CA)|448028|181754|266274|266274|302|489627
179277||0|0|0|0|303|489627
179278||97018|76165|20853|20853|304|489627
179279||4259|1171|3088|3088|305|489627
159179||213315|184246|29069|29069|303|465062
159180||48011|30765|17246|17246|304|465062
159181||22991|22991|0|0|305|465062
159224|814 Airport Blvd., Austin, TX 78702|124387|0|124387|132337|301|465108
159225|814 Airport Blvd., Austin, TX 78702|4209998|62970|4147028|4147028|302|465108
159226||32592|26074|6518||303|465108
159227||93690|60760|32930|32930|304|465108
159228||81378|12556|68822|68822|305|465108
159242||139430|121906|7524|25000|303|465126
159243||158130|152621|3879|10000|304|465126
159244||||||305|465126
161909||||||303|467105
161910||34977|22977|12000|12000|304|467105
161911||||||305|467105
168973|3300 US Hwy 70 East, Durham, NC  27703||0|63500|63500|301|477979
168974|3300 US Hwy 70 East, Durham, NC  27703|63500|63500|0|0|302|477979
168975||9715|1619|8096|8096|303|477979
168976||||||304|477979
168977||||||305|477979
172440||||||303|480662
172441||20577|17878|2699|2699|304|480662
172442||||||305|480662
175481|7320 S. University Ave Little Rock, AR|29902|0|29902|65000|301|486812
175482|Lot - Little Rock, Arkansas|1|0|1|19160|301|486812
175483|Land - 7400 S. University Ave Little Rock, AR|80000|0|80000|80000|301|486812
175484|7320 S. University Ave Little Rock, AR|69761|68661|1100|160000|302|486812
175485|7400 S. University Ave Little Rock, AR|206779|0|206779|206779|302|486812
175486|Shop Building|101061|0|101061|101061|302|486812
175487||91769|0|91769|74500|303|486812
175488||94648|1769|92879|72000|304|486812
175489||53162|0|53162|46835|305|486812
170728|248 Main St Forest Park, Ga|52500|0|52500|0|301|479467
170729|Birmingham, Alabama|33000|0|33000|0|301|479467
170730|Muscle Shoals, Alabama|37500|0|37500|0|301|479467
170731|248 Main St Forest Park, Ga|297500|77350|220150|0|302|479467
170732|Birmingham Alabama|187000|48620|138380|0|302|479467
170733|Muscle Shoals, Alabama|212500|55250|157250|0|302|479467
170734||103248|68947|34301|0|303|479467
170735||32349|17655|14694||304|479467
170736||||||305|479467
165854||||||303|473606
165855||25447||25447|25447|304|473606
165856||||||305|473606
177090|325 S. Ashland Avenue, Chgo,IL  60607|71168|0|71168|28500|301|488584
177091|333 S. Ashland Avenue, Chgo,IL  60607|135522|0|135522|150000|301|488584
177092|333 S. Ashland Avenue, Chgo, IL  60607|856072|812634|43438|3000000|302|488584
177093||671711|7500|664211|664211|303|488584
177094||437448|437448|0|70000|304|488584
177095||||||305|488584
173989||||||303|482358
173990||15810|2831|12979|12979|304|482358
173991||||||305|482358
181927||||||303|491204
181928||8987||8987|8987|304|491204
181929||||||305|491204
175286||79921|66663|13258|13258|303|486744
175287||43899|35187|8712|8712|304|486744
175288||269120|39759|229361|229361|305|486744
172950|OFFICE FURNITURE AND EQUIPMENT|32643|0|0|5000|301|481016
172951||||||303|481016
172952||||||304|481016
172953||||||305|481016
174933|HONOLULU|136812|0|136812|0|301|482756
174934|MAUI 2|811259|0|811259|0|301|482756
174935|HILO|45236|0|45236|0|301|482756
174936|KAUAI|223984|0|223984|0|301|482756
174937|MAUI 3|341287|0|341287|0|301|482756
174938|HONOLULU|1100188|601830|498358|0|302|482756
174939|MAUI 2|1729577|576999|1152578|0|302|482756
174940|KAUAI|1520737|840710|680027|0|302|482756
174941|HAWAII|464515|275789|188726|0|302|482756
174942|HONOLULU IMPROVEMENTS|2393|2393|0|0|302|482756
174943|OREGON IMPROVEMENTS|18401|11722|6679|0|302|482756
174944||||||303|482756
174945||2351166|2146444|204722|0|304|482756
174946||||||305|482756
164819||142578|7174|13069|13069|304|470849
164818||83260|13043|63695|19565|303|470849
164820||25712|23|195|195|305|470849
164700||105720|86694|19026|19026|303|470730
164701||104920|94850|10070|10070|304|470730
164702||2729|2015|714|714|305|470730
163435|Land (Boron, CA)|2000|0|2000|2000|301|468830
163436|Building (Boron, CA)|173408|126280|47128|135000|302|468830
163437||||||303|468830
163438||119573|90777|28796|42000|304|468830
163439||1314||1314|1000|305|468830
164262|Building 145 Colonial Court, Mt. Clemens, MI 48043|0|0|0|0|301|470369
164263|145 Colonial Court, Mt Clemens, MI 48043|222401|33992|188409|188409|302|470369
164264||||||303|470369
164265||39972|36255|3717|3717|304|470369
164266||||||305|470369
164650|17233 W TEN MILE RD, SOUTHFIELD, MI|20000|0|20000|20000|301|470702
164651|17233 W TEN MILE RD, SOUTHFIELD, MI|204447|204447|0|295461|302|470702
164652||||||303|470702
164653||106720|93526|13194|10000|304|470702
164654||169982|92405|77577|70000|305|470702
183749||96414|96414|0|14582|303|498689
183750||569224|509497|59727|59727|304|498689
183751||34944|33342|1602|1602|305|498689
170905||||||303|479556
170906||1236|1236|0|0|304|479556
170907||||||305|479556
164607|190 W G STREET, COLTON CA 92324|145295|145295|0|0|302|470666
164606|190 W G STREET, COLTON CA 92324|25160|0|25160|25160|301|470666
164608||||||303|470666
164609||62660|58925|3735|3735|304|470666
164610||112683|97706|14977|14977|305|470666
177463||55433|53207|2226|2226|303|488785
177464||121677|121514|163|163|304|488785
177465||||||305|488785
161573|161 LONDONDERRY TPKE, HOOKSETT, NH|48071|0|48071|100000|301|467000
161574|161 LONDONDERRY TPKE, HOOKSETT, NH|778180|384632|393548|825000|302|467000
161575||40863|19840|21023|12000|303|467000
161576||32109|29186|2923|4500|304|467000
161577||16000|16000|0|1000|305|467000
170950||||||303|479578
170951||||||304|479578
170952||||||305|479578
161023|NONE|0|0|0|0|301|466695
161024|NONE|0|0|0|0|302|466695
161025||0|0|0|0|303|466695
161026||19094|13886|5208|5208|304|466695
161027||0|0|0|0|305|466695
157944||||||303|460864
157945||||||304|460864
157946||||||305|460864
183007|100 BLUE SKY PARKWAY, LEXINGTON, KY 40509|95000|0|95000|150000|301|495659
183008|100 BLUE SKY PARKWAY, LEXINGTON, KY 40509|495181|300561|194620|250000|302|495659
183009||20614|19421|1193|2000|303|495659
183010||39523|32203|7320|6000|304|495659
183011||||||305|495659
169427||||||303|478414
169428||24743|24170|572|572|304|478414
169429||||||305|478414
183905|117 PAJARO STREET|77448|0|77448|0|301|499149
183906|117 PAJARO STREET|37104|36054|1050|0|302|499149
183907||71766|71766|0|0|303|499149
183908||9686|9670|16|0|304|499149
183909||22758|17118|5698|0|305|499149
179669||0|0|0|0|303|489787
179670||0|0|0|0|304|489787
179671||0|0|0|0|305|489787
158111||135887|0|135887|135887|303|461377
158112||54347|0|54347|54347|304|461377
158113||||||305|461377
158711||42989|31208|11782|11782|303|463843
158712||26042|26042|0|0|304|463843
158713||4900|933|3966|3966|305|463843
159466||54471|15900|38571|25000|303|465651
159467||57641|54447|3194|2000|304|465651
159468||||||305|465651
169322||||||303|478322
169323||22867|18808|4059|4000|304|478322
169324||3301|1375|1926|1500|305|478322
164338|||||0|303|470426
164339|||||0|304|470426
164340|||||0|305|470426
164637||||||303|470699
164638||227159|220686|6473|6473|304|470699
164639||61837|17692|44145|44145|305|470699
161873|Land|42565|0|42565|60000|301|467096
161874|Buildings|222751|215326|7425|310000|302|467096
161875||112893|92802|20091|40000|303|467096
161876||104591|96173|8418|20000|304|467096
161877||||||305|467096
158236||||||303|461668
158237||32184|0|32184|32184|304|461668
158238||||||305|461668
174970|280 McCloskey Road, Fayetteville, NC 28311|135000|0|135000|135000|301|482788
174971|280 McCloskey Road, Fayetteville, NC 28311|60000|0|60000|60000|302|482788
174972||||||303|482788
174973||25000|0|25000|25000|304|482788
174974||||||305|482788
175901||0|0|0|0|303|487058
175902||83310|82029|1281|1281|304|487058
175903||0|0|0|0|305|487058
168729|91237 old milltown rd westport or 97016|6145|0|6145|6145|301|477765
168730|91237 old mill town rd westport or 97016|112431|106402|6029|6029|302|477765
168731||||||303|477765
168732||46179|41837|4342|4342|304|477765
168733||19650|16375|3275|3275|305|477765
174801||||||303|482685
174802||2793|1210|1583|1583|304|482685
174803||||||305|482685
167080||||||303|476004
167081||21151||21151|21151|304|476004
167082||31765||31765|31765|305|476004
170229|103 E 14th Street, Elmira Heights, NY 14903|21350|0|21350|21350|301|479124
170230|103 E 14th Street, Elmira Heights, NY 14903|10000||10000|10000|302|479124
170231||||||303|479124
170232||22000||22000|22000|304|479124
170233||||||305|479124
164948|459 E. Church Street Elmira, NY 14901|57303|50159|7145|77778|302|470905
164949||||||303|470905
164950||10670|6485|4185|6000|304|470905
164951||||||305|470905
171945||146470|122670|23800|20000|303|480152
171946||77758|43443|34315|30000|304|480152
171947||186158|155808|30350|25000|305|480152
164080||4131997|2212341|1919656|1919656|303|469918
164081||11271168|7860810|3410358|3410358|304|469918
164082||2592802|1660414|932388|932388|305|469918
184556|1015,1017,1019 Oregon|91000|0|100000|100000|301|502140
184557|1015,1017,1019,Oregon|100000||150000|150000|302|502140
184558||||||303|502140
184559||88882|||8882|304|502140
184560||||||305|502140
165146||25000|2500|22500|22500|303|471086
165147||54254|50720|3534|3534|304|471086
165148||0|0|0|0|305|471086
165876||||||303|473760
165877||1638|386|866|866|304|473760
165878||||||305|473760
168824||68657|20660|47997|47997|303|477816
168825||58485|44708|13777|13777|304|477816
168826||||||305|477816
165935||||||303|473857
165936||1354||1354|3096|304|473857
165937||||||305|473857
184179||||||303|500898
184180||16991|16991|16991|16991|304|500898
184181||||||305|500898
163953|13012 SW 133rd Court, Miami, FL|14970|0|14970|14970|301|469735
163954|13012 SW 133rd Court, Miami, FL|222140|143923|78217|78217|302|469735
163955||0|0|0|0|303|469735
163956||65998|59013|6985|6985|304|469735
163957||0|0|0|0|305|469735
165916||||||303|473828
165917||8464|7240|1224|1000|304|473828
165918||||||305|473828
162661|160 Patchway Rd., Duncansville, PA|304845|0|304845|304845|301|467323
162662|116-118 Blvd. of the Allies, Pittsburgh, PA|275502|0|275502|356200|301|467323
162663|1276 Liberty St., Franklin, PA|26461|0|26461|26461|301|467323
162664|250 Commerce Park Dr., New Columbia, PA|260259|0|260259|160400|301|467323
162665|1258 O'Neill Hwy., Dunmore, PA|50000|0|50000|50000|301|467323
162666|150 So. 43rd St., Harrisburg, PA|473039|0|473039|968000|301|467323
162667|4031 Executive Park Dr., Harrisburg, PA|207973|0|207973|343200|301|467323
162668|160 Patchway Rd., Duncansville, PA|2321134|736508|1584626|2374563|302|467323
162669|116-118 Blvd. of the Allies, Pittsburgh, PA|766201|408588|357613|1087940|302|467323
162670|1276 Liberty St., Franklin, PA|1406358|297173|1109185|1634696|302|467323
162671|250 Commerce Park Dr., New Columbia, PA|2206887|782467|1424420|2273094|302|467323
162672|1258 O'Neill Hwy., Dunmore, PA|1716241|676531|1039710|1709396|302|467323
162673|150 So. 43rd St., Harrisburg, PA|9281393|4193399|5087994|9577742|302|467323
162674|4031 Executive Park Dr., Harrisburg, PA|3573137|2356355|1216782|5698594|302|467323
162675||45471|32019|13722|13722|303|467323
162676||4163660|3741423|422237|420273|304|467323
162677||23697|21598|2099|2099|305|467323
174069||||||305|482388
174067||||||303|482388
174068||32945|32945|0|0|304|482388
164538|||||0|303|470628
164539|||||0|304|470628
164540|||||0|305|470628
171093||37745|10610|27135|27135|303|479640
171094||14638|14565|73|73|304|479640
171095||||||305|479640
184624|Land (Block 72, Lots 19 & 20)|369750|0|369750|369750|301|502279
184625|Union Hall (at 203-205 N. Sov. Ave, AC, NJ)|955088|527659|427429|427429|302|502279
184626||51381|26476|24905|24905|303|502279
184627||200563|191186|9377|9377|304|502279
184628||||||305|502279
181974|2201 W 52nd Ave Denver, Co 80221|50000|0|50000|50000|301|491280
181975|2201 w 52nd Ave Denver, Co 80221|102164|90953|11210|186000|302|491280
181976||||||303|491280
181977||||||304|491280
181978||||||305|491280
166002|1451 Old Pinckney Road Howell, MI. 48844|115000|110780|4220|250000|302|473931
166003||||||303|473931
166004||42274|41292|982|10000|304|473931
166005||43532|28241|15291|37000|305|473931
171228||||||303|479777
171229||||||304|479777
171230||||||305|479777
178809|1192 Plainfield Street, Johnston, RI 02919|65000|0|65000|102900|301|489423
178810|1195 Plainfield Street, Johnston, RI  02919|531958|350974|180984|220800|302|489423
178811||||||303|489423
178812||74070|65818|8252|5000|304|489423
178813||14372|13446|926|500|305|489423
165619|1385 Tennessee Avenue|22500|0|22500|22500|301|473006
165620|1385 Tennessee Avenue|444829|56518|388311|388311|302|473006
165621||||||303|473006
165622||24082|24082|0|0|304|473006
165623||||||305|473006
177808||23007|16335|6672|6672|303|488919
177806|LAND 4409 WEST ALVA STREET, TAMPA,FL |14600|0|14600|14600|301|488919
177809||40876|33071|7805|7805|304|488919
177810||||||305|488919
177807|BLDG 4409 WEST ALVA STREET, TAMPA, FL|354921|241950|112971|112971|302|488919
169406||134220|134220|0|115000|304|478388
169403|194 W Lake St, Elmhurst, IL 60126|35000|0|35000|34000|301|478388
169407||2055|2055|0|1895|305|478388
169404|194 W Lake St, Elmhurst, IL 60126|405407|174661|230746|232000|302|478388
169405||||||303|478388
179329|4 North High Street, Baltimore, MD|22500|0|22500|30000|301|489644
179330|4 North High Street, Baltimore, MD|308473|165854|142619|150000|302|489644
179331||||||303|489644
179332||130236|129090|1146|5000|304|489644
179333||||||305|489644
177861||||||303|488966
177862||73502|54616|18886|15000|304|488966
177863||||||305|488966
175528|23 BROCKET ST, NORTH HAVEN, CT 06473|15000|0|15000|15000|301|486831
175529|23 BROCKET ST, NORTH HAVEN, CT 06473|128130|99456|28674|28674|302|486831
175530||50181|34848|15333|15333|303|486831
175531||71306|60713|10593|10593|304|486831
175532||||||305|486831
173946|      ||0|||301|482345
173947|10501 S ORLANDO AVE ORLANDO FL|379000|25950|353050|300000|302|482345
173948||||||303|482345
173949||47161|13332|33829|20000|304|482345
173950||||||305|482345
181140|1957 10th Lake Ave, N, Lake Worth, FL 33461|122535|117672|4863|100000|302|490317
181141||||||303|490317
181142||59078|47356|11722|0|304|490317
181143||||||305|490317
174023|1200 E. Euclid Ave, Des Moines, IA  50316|156000|0|156000|156000|301|482370
174024|1200 E. Euclid Ave., Des Moines, IA  50316|184000|50600|133400|133400|302|482370
174025||||||303|482370
174026||53679|50537|3142|3142|304|482370
174027||||||305|482370
170857|3741 E Atlanta, Phoenix, AZ 85040 Building|377771|213069|164702|210000|302|479540
170856|3741 E. Atlanta, Phoenix, AZ 85040  Land|50000|0|50000|50000|301|479540
170858||||||303|479540
170859||161815|149490|12325|12326|304|479540
170860||||||305|479540
174870|5301 Madison Ave Sacramento, CA 95841|124299|2942|121357|121357|302|482721
174869|5301 Madison Ave Sacramento, CA 95841|68988|0|68988|68988|301|482721
174871||||||303|482721
174872||73923|52903|21020|21020|304|482721
174873||||||305|482721
174680||72893||72893|72893|303|482622
174681||90776||90776|90776|304|482622
174682||||||305|482622
171388||||||303|479846
171389||37683|20818|16865|16865|304|479846
171390||||||305|479846
174675|6920 Pueblo Wichita KS 67209|30910|0|30910|30910|301|482617
174676|6920 Pueblo Wichita KS 67209|76565|72463|4102|4102|302|482617
174677||0|0|0|0|303|482617
174678||13244|13244|0|0|304|482617
174679||0|0|0|0|305|482617
173330||||||303|481259
173331||42380|38507|3873|3873|304|481259
173332||1488|1488|0|0|305|481259
179137|1705 South Broadway St. Louis, Mo.|0|0|0|0|301|489544
179138|1705 South Broadway St. Louis, Mo.|0|0|0|0|301|489544
179139|Automobiles and Other Vehicals|0|0|0|0|301|489544
179140|1705 South Broadway St. Louis, Mo.|0|0|0|0|302|489544
179141||0|0|0|0|303|489544
179142||18416|0|18416|0|304|489544
179143||0|0|0|0|305|489544
176085||||||303|487154
176086||15829|15676|153|153|304|487154
176087||||||305|487154
168649|2974 E. Henrietta Road, Henrietta, NY 14467|17189|0|17189|20000|301|477689
168650|2974 E. Henrietta Road, Henrietta, NY 14467|178993|17900|161093|161000|302|477689
168651||||||303|477689
168652||67468|56345|11123|11000|304|477689
168653||||||305|477689
170392|0|0|0|0|0|301|479198
170393|0|0|0|0|0|301|479198
170394|0|0|0|0|0|302|479198
170395||0|0|0|0|303|479198
170396||0|0|0|0|304|479198
170397||0|0|0|0|305|479198
179144|1414 Brighton Road, Pittsburgh, PA 15212|21951|0|21951|21951|301|489545
179145|1414 Brighton Road, Pittsburgh, PA 15212|438049|178870|259179|259179|302|489545
179146|Building improvements|75026|19788|55238|55238|302|489545
179147||||||303|489545
179148||||||304|489545
179149||||||305|489545
181453|2313 4TH AVENUE N., BIRMINGHAM, AL|11500|0|11500|23300|301|490780
181454|2313 4TH AVENUE N., BIRMINGHAM, AL|82100|6209|75891|100000|302|490780
181455||||||303|490780
181456||24500|9800|14700|15000|304|490780
181457||||||305|490780
168641|1239 Howard Street, San Francisco|388699|0|388699|388699|301|477674
168642|1239 Howard Street, San Francisco|593512|191869|401643|401643|302|477674
168643||||||303|477674
168644||78777|71737|7040|7040|304|477674
168645||||||305|477674
157841|2261 Waters Drive   Mendota Heights, MN 55120|21757|0|21757|21757|301|460730
157842|2261 Waters Drive  Mendota Heights, MN 55120|413375|13779|399596|413375|302|460730
157843||||||303|460730
157844||65438|42471|22967|22967|304|460730
157845||||||305|460730
169759|1820 NORTHWEST BLVD, COLUMBUS, OH|30000|0|30000|30000|301|478825
169760|1820 NORTHWEST BLVD|310000|126843|183157|310000|302|478825
169761||0|0|0|0|303|478825
169762||104840|98404|6436|104840|304|478825
169763||42289|11431|30858|42289|305|478825
175101|6500 W Sunrise Boulevard, Plantation, FL 33313|456650|0|456650|456650|301|486651
175102||||||303|486651
175103||40510||40510|40510|304|486651
175104||37132||37132|37132|305|486651
181208|3181 Eastern Ave. Grand Rapids Mi 49508|203443|0|203443|203443|301|490448
181209||||||303|490448
181210||||||304|490448
181211||||||305|490448
179582|450 HANOVER STREET|87000|0|87000|87000|301|489762
179583||||||303|489762
179584||||||304|489762
179585||||||305|489762
173053|3720 W. Greenway Road|20000|0|20000|20000|301|481122
173055||||||303|481122
173056||||||304|481122
173057||||||305|481122
173054|3720 W. Greenway Road|575103|320638|254465|254465|302|481122
167122|262 W 2ND AVE MESA AZ|0|0|0|0|301|476032
167123|262 W 2ND AVE MESA AZ|202210|101128|101082|101082|302|476032
167124||||||303|476032
167125||22402|20360|2042|2042|304|476032
167126||23445|17311|6134||305|476032
178970|727 N Swan Rd, Tucson AZ 85711|135528|||135528|302|489481
178971||||||303|489481
178972||1087|||1087|304|489481
178973||||||305|489481
165455||||||303|472232
165456||17881|17881|||304|472232
165457||||||305|472232
179172|21540 Prairie St, Chatsworth CA|237006|0|237006|237006|301|489565
179173|21540 Prairie St, Chatsworth CA|243068|179061|64007|64007|302|489565
179174||19347|19347|0|0|303|489565
179175||84170|74377|9793|9793|304|489565
179176||||||305|489565
173737||||||303|482247
173736|6125 Watt Ave North Highlands, CA 95660|325000|292535|32465|325000|302|482247
173738||54246|41870|12376|54246|304|482247
173739||22485|7938|14547|22485|305|482247
165528||0|0|0|0|303|472575
165529||6810|6810|0|0|304|472575
165530||9550|3025|6525|6525|305|472575
181376|6620 FLANDERS DR, SAN DIEGO, CA 92121|160118|0|160118|160118|301|490655
181377|6620 FLANDERS DR., SAN DIEGO, CA 92121|266864|123703|143161|143161|302|490655
181378||96456|66707|29749|29749|303|490655
181379||149067|96033|53034|53034|304|490655
181380||||||305|490655
183272|1060 Minnesota Avenue, San Jose, CA|260000|0|260000|290000|301|496628
183273|1060 Minnesota Avenue, San Jose, CA|425414|168586|256828|445000|302|496628
183274||||||303|496628
183275||27536|27536||15000|304|496628
183276||||||305|496628
158007||||||303|461172
158008||65301|56392|8909|8909|304|461172
158009||||||305|461172
159880||||||305|466047
159876|702 S. BROADWAY SANTA ANA, CA 92701|160000|0|160000|160000|301|466047
159877|702 S. BROADWAY SANTA ANA, CA 92701|153525|62201|91324|91324|302|466047
159878||||||303|466047
159879||31045|30333|712|712|304|466047
166981|3350 Scott Blvd., #57 Santa Clara, CA 95050|817919|83042|734877|600000|302|475862
166982||26004|24507|1497|5000|303|475862
166983||77120|59914|17206|3000|304|475862
166984||||||305|475862
160551|744 VALENCIA STREET, LOS ANGELES, CA 90017|111200|0|111200|111200|301|466517
160552|774 VALENCIA STREET, LOS ANGELES, CA 90017|373354|147562|225792|225792|302|466517
160553||||||303|466517
160554||108293|99660|8633|8633|304|466517
160555||||||305|466517
166189||||||303|474340
166190||48836|45080|3756|3756|304|474340
166191||||||305|474340
182910||||||303|495337
182907|LAND - BARTLESVILLE, OK|5000|0|5000|5000|301|495337
