OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
149695|2101|ACTIVE MEMBER|11661|T|489291
149696|2102||138|F|489291
147351|2101|LIFE|69|T|482785
147349|2101|ACTIVE|419|T|482785
147352|2101|APPRENTICES|59|F|482785
147353|2102||0|F|482785
147350|2101|RETIRED|107|T|482785
150182|2102||0|F|489627
150181|2101|Retired Carriers|603|T|489627
150180|2101|Active Carriers|2254|T|489627
136055|2101|LOCALS|23|T|465062
136096|2101|JOURNEYMAN|800|T|465108
136097|2101|APPRENTICES|216|F|465108
136098|2101|RETIREES|87|T|465108
136103|2101|Building Trades|848|T|465126
136104|2101|Production Workers|222|T|465126
136105|2101|Retired Workers|285|T|465126
136106|2101|Members on Withdrawl|33|F|465126
138433|2101|RETIRED MEMBERS|585|T|467105
138434|2101|ASSOCIATE MEMBERRS|21|F|467105
138435|2101|RETIRED ASSOCIATE MEMBERS|1|F|467105
138432|2101|RELIEF MEMBERS|1033|T|467105
138431|2101|REGULAR MEMBERS|1671|T|467105
143283|2101|CLASS 'A' MEMBERSHIP|197|T|477979
143284|2101|CLASS 'BA' MEMBERSHIP|10|T|477979
143285|2102||0|F|477979
147770|2101|A Members|347|T|486812
147771|2101|BA Members|13|T|486812
144470|2101|General membership|1647|T|479467
141284|2101|Regular dues paying members two hours straight pay|684|T|473606
148698|2101|Union dues paying members|18628|T|488584
148699|2102||0|F|488584
146689|2101|ACTIVE FULL TIME MEMBERS|5907|T|482358
146690|2101|ACTIVE PART TIME MEMBERS|2382|T|482358
151759|2101|Regular Members|595|T|491204
147590|2101|"A" Members|3|T|486744
147591|2101|"BA" Members|2127|T|486744
147592|2102||18|F|486744
152308|2101|Local 1626 Members|228|T|494686
141775|2101|Spartech|11|T|475242
141776|2101|Tetra|4|T|475242
141771|2101|Conoco Clerical|13|T|475242
141772|2101|Sasol P&M|152|T|475242
141773|2101|Sasol Clerical|2|T|475242
141774|2101|Louisiana Pigment|103|T|475242
141770|2101|Conoco P&M|430|T|475242
152553|2101|all members have the same status|183|T|496267
145898|2102||0|F|481016
147332|2101|FULL TIME|10588|T|482756
147333|2101|PART  TIME|750|T|482756
147334|2101|RETIREE|2266|F|482756
147335|2101|ASSOCIATE|29|F|482756
147336|2102||951|F|482756
140625|2101|Type "A" Members|13|T|470849
140626|2101|Type "BA" Members|759|T|470849
140627|2102||1|F|470849
140566|2101|GENERAL MEMBERSHIP|2474|T|470730
139657|2101|Active members with all rights|583|T|468830
139658|2101|Members on LTD|30|F|468830
139659|2101|Members not sworn in|43|F|468830
140296|2101|General Membership|665|T|470369
140297|2102||0|F|470369
140536|2101|FULL DUES PAYING MEMBERS|1180|T|470702
140537|2101|CASH DUES PAYING MEMBERS|2|T|470702
140538|2102||0|F|470702
152963|2101|Active|5445|T|498689
152964|2101|Executive Active|47|T|498689
152965|2101|Executive Inactive|32|F|498689
152966|2101|Inactive|1866|F|498689
152967|2102||55|F|498689
144550|2101|Regular Members|830|T|479556
140511|2101|REGULAR MEMBERS|2169|T|470666
140512|2101|RETIRED MEMBERS|1|T|470666
140513|2102||77|F|470666
148953|2101|JOURNEYMAN|273|T|488785
148954|2101|APPRENTICE|32|T|488785
148955|2101|PRE-APPRENTICE|3|F|488785
148956|2101|RESIDENTIAL WIREMAN|7|T|488785
148957|2101|RESIDENTIAL APPRENTICE|0|T|488785
148958|2101|RESIDENTIAL PRE-APPRENTICE|0|F|488785
148959|2101|CONSTUCTION ELECTRIAN CONTRUCTION WIREMAN|2|T|488785
138141|2101|JOURNEYMEN|249|T|467000
138142|2101|APPRENTICES|25|T|467000
138143|2101|RETIREES|141|T|467000
