RPT_ID|REPRESENTATIONAL|POLITICAL|CONTRIBUTIONS|GENERAL_OVERHEAD|UNION_ADMINISTRATION|WITHHELD|MEMBERS|SUPPLIES|FEES|ADMINISTRATION|DIRECT_TAXES|STRIKE_BENEFITS|PER_CAPITA_TAX|TO_OFFICERS|INVESTMENTS|BENEFITS|LOANS_MADE|LOANS_PAYMENT|AFFILIATES|OTHER_DISBURSEMENTS|TO_EMPLOYEES|LESS_TOTAL_DISBURSED|WITHHELD_NOT_DISBURSED|OFFICER_DEDUCTIONS|EMPLOYEE_DEDUCTIONS|INV_PURCH_REINVESTMENTS|ALL_OTHER_REP_ACTIVITIES|ALL_OTHER_POL_ACTIVITIES|ALL_OTHER_CONTRIBUTIONS|ALL_OTHER_GEN_OVERHEAD|ALL_OTHER_UNION_ADMIN|OFF_ADMIN_EXPENSE|EDU_PUB_EXPENSE|PRO_FEES
518467|92998|18511|215160|134102|205793|60049|0|3639|0||30730|0|181299|270015|345000|233484|0|3864|0||51057|52140|7909||||0|0|11915|62788|26517|||
528662|||0||||||||||40247|0|810|1343|0|||0|0|||||||||||18702||2847
515444|||||||||||||0|3452|||||||1344|||||||||||1641||
515058|||400||||||||||0|2000|0|3566|0|||470|0|||0||||||||14366||34567
525300|||2620||||||||||0|13983|1802|0|0|||50460|0|||||||||||0||4383
520260|||0||||||||||1542|23829|0|0|0|||0|10438|||4813||||||||58113||4288
528686|||100||||||||||2739|10400|0|0|0|||3|0|||||||||||8085||0
524850|||1680||||||||||0|0|749|0|0|||7137|106650|||||||||||2129||1650
527954|||1295||||||||||0|0|0|0|0|||7535|0|||||||||||1160||180
523371|||0||||||||||0|21462|0|0|0|||3681|0|||||||||||12142||0
516185|||925||||||||||6068|7113|0|0|0|||10611|2967|||||||||||2983||155
518780|||3137||||||||||66791|19982|0|0|0|||12042|1527|||||||||||8843||350
529047|||0||||||||||13108|3257|4227|0|0|||0|0|||||||||||5052||0
512454|||100||||||||||15510|5565|0|400|0|||2819|0|||||||||||2989||2980
523543|||4510|||||||||||14008||||||5487|2537|||||||||||7062||270
496063|||0||||||||||12218|15934|0|0|0|||18828|0|||||||||||6036||1010
520112|||11682||||||||||59940|0|0|0|0|||20489|0|||||||||||2037||0
524498|||487|||||||||||17095||||||11754||||||||||||||15355
524602|||100||||||||||2806|23621||||||33033||||||||||||1594||
526694|||0||||||||||6386|8021|0|471|0|||2592|2562|||1636||||||||1729||986
522797|||||||||||||24629|1229||||||580||||||||||||1512||
523931|||5567||||||||||0|0|0|0|0|||47574|0|||||||||||0||1700
513326|||72||||||||||6012|4053|0|0|0|||0|14|||||||||||923||0
522927|||14940||||||||||0|34660|0|0|0|||119357|180|||||||||||9861||0
523570|||150||||||||||0|775|0|0|0|||12553|300|||||||||||0||0
498961|||0||||||||||0|19529|0|0|0|||64603|0|||||||||||647||78796
532033|||0||||||||||14990|1560|0|0|0|||0|0|||||||||||360||0
501277|||0||||||||||0|3787|0|0|0|||1316|0|||||||||||3947||1500
529201|||100||||||||||0|50302|0|100|0|||4528|1897|||||||||||11188||1190
528517|||330||||||||||6053|33645|0|0|0|||38281|3797|||||||||||13983||5850
504486|||796||||||||||0|3393|0|0|0|||208|126|||||||||||2026||591
523971|||0||||||||||10084|3813|0|0|0|||0|100|||||||||||1405||0
524879|||53||||||||||14405|3138||0||||5598|0|||||||||||1881||0
521870|||0||||||||||5304|4960|0|0|0|||89|0|||||||||||0||0
520769|598826|18290|2524|185874|264030|0|19986|0|0||65301|0|490382|750063|12886|155552|0||0|||0||||0|76995|0|0|36326|0|||
534076|||0||||||||||0|8933|0|0|0|||1186|2167|||||||||||390||0
517610|||0||||||||||0|11237|0|0|0|||1204|0|||1125||||||||4523||0
557720|||0||||||||||0|12000|0|0|0|||839|0|||||||||||7954||6047
537789|||0||||||||||0|0|0|0|0|||0|0|||||||||||786||0
523400|||6063||||||||||16562|31221|0|2375|0|||11307|0|||6348||||||||12089||1760
532000|||0||||||||||4878|8589|0|0|0|||5911|0|||||||||||2250||0
521704|||0||||||||||0|10460|0|0|0|||10489|0|||1068||||||||767||0
502874|1240947|203470|11049|170978|219971|373204|0|0|0||65161|0|0|122543|65624|563266|0||803149||508877|368400|4804|47951|325253||63077|4099|582|39064|10048|||
506345|||1188||||||||||0|690|0|0|0|||17207|0|||0||||||||1443||111
502827|68950|73628|0|666987|215349|70677|56000|0|0||76378|0|298346|201984|32722|181954|||0||77239|70677||55363|15314||0|0|0|69847|35803|||
505042|||0||||||||||13468|14575|0|0|0|||16|0|||||||||||14324||1845
502628|||100||||||||||83919|21736|0|900|0|||1577|0|||1577||||||||8086||1920
504817|2183642|31112|10404|278925|100286|184893|0|0|0||55980|0|499532|425538|613223|252798|||0||194299|184166|727||||369970||4050|26146|10380|||
505741|||3972||||||||||0|7400|0|0|0|||0|0|||||||||||18818||0
505372|303131|0|0|0|162758|56631|0|0|0||22758|0|4714|159296|1651|21193|0|0|0||162916|56050|581|18675|53756||13980|0|0|0|33906|||
519498|||0||||||||||0|0|6982|0|0|||38848|35683|||0||||||||3360||1500
503397|||2552||||||||||53770|3973|0|2877|0|||81|568|||0||||||||8392||257
508740|||||||||||||12901|360||||||||||||||||||||
503440|||0||||||||||30816|6820|0|0|0|||5482|0|||604||||||||5436||0
505911|||||||||||||17761|2203||4000||||||||||||||||7524||1775
519110|52410|0|10421|18570|28187|7179|0|0|0||0|695118|521|38360||4030|||0||6799|7703|-524|6944|1017||26350||4210|10169|10169|||
526498|||1600||||||||||720|35974|0|0|0|||29642|8226|||||||||||181||1156
501018|||0||||||||||0|0|0|0|0|||0|0|||||||||||0||0
526159|||4024||||||||||3016|72519|100|0|0|||62448|8627|||||||||||14717||0
523200|||||||||||||12939|13101|83732|||||3477|8996|||||||||||16436||920
