OID|RATE_TYPE|AMOUNT|UNIT|MINIMUM|MAXIMUM|RPT_ID
206660|1101|20-28|month|20|28|468722
206661|1103|25-85|one time|25|85|468722
206662|1104|n/a|n/a|n/a|n/a|468722
206663|1105|n/a|n/a|n/a|n/a|468722
239209|1101|Various|Member|$8|$30|492170
239210|1103|Various|New Member|$300|$700|492170
239211|1104|Na|NA|N/A|N/A|492170
239212|1105|N/A|N/A|N/A|N/A|492170
240432|1101|15.50|PP|15.50|15.50|495247
240433|1103|N/A|N/A|N/A|N/A|495247
240434|1104|N/A|N/A|N/A|N/A|495247
240435|1105|N/A|N/A|N/A|N/A|495247
241041|1101|0.35|MONTH|N/A|N/A|495885
241042|1103|0|N/A|N/A|N/A|495885
241043|1104|0|N/A|N/A|N/A|495885
241044|1105|0|N/A|N/A|N/A|495885
241165|1101|116|year|na|na|495995
241166|1102|1.85%|dollar earned|0.25%|1.85%|495995
241167|1103|2277|mbr|na|na|495995
241168|1104|na|na|na|na|495995
241169|1105|na|na|na|na|495995
243291|1101|29.25|MONTH|N/A|N/A|498813
243292|1102|NONE||||498813
243293|1103|100.00||||498813
243294|1104|NONE||||498813
243295|1105|NONE||||498813
243375|1101|various|week|5.81|27.17|498885
243376|1102|||||498885
243377|1103|||||498885
243378|1104|||||498885
243379|1105|||||498885
243569|1101|65.25|MONTH|N/A|N/A|499103
243570|1102|NONE|N/A|N/A|N/A|499103
243571|1103|100.00|ONCE|N/A|N/A|499103
243572|1104|NONE|N/A|N/A|N/A|499103
243573|1105|NONE|N/A|N/A|N/A|499103
243917|1101|33.14|Bi-Weekly|33.14|33.14|499337
243918|1102|||||499337
243919|1103|||||499337
243920|1104|||||499337
243921|1105|||||499337
243975|1101|$24|QUARTER|N/A|N/A|499357
243976|1102|||2.75%|5.00%|499357
243977|1103|$50/$65|LOCAL/NATIONAL|||499357
243978|1104|||||499357
243979|1105|||||499357
243994|1101|2.5|HR/MONTH|1/ HR|2.5/HR|499365
243995|1102|||||499365
243996|1103|40.00|NEW HIRE|||499365
243997|1104|||||499365
243998|1105|||||499365
244190|1101|110.64|none|32.00|110.64|500635
244191|1102|none|none|none|none|500635
244192|1103|30.00|none|none|none|500635
244193|1104|none|none|none|none|500635
244194|1105|hourly|month|none|none|500635
244239|1101|2.5|hour|32.50|66.98|500713
244240|1103|40.00|N/A|N/A|N/A|500713
244241|1104|0|N/A|N/A|N/A|500713
244242|1105|0|N/A|N/A|N/A|500713
244460|1101|$40+1.5% of covered earnings|qtr|0|0|501117
244461|1102|0||0|0|501117
244462|1103|0||100|1500|501117
244463|1104|0||0|0|501117
244464|1105|0||0|0|501117
244792|1101|198|MBR|NA|8073|501524
244793|1102|1.575%|DOLLAR EARNER|0|$500,000|501524
244794|1103|3000|MBR|NA|NA|501524
244795|1104|NA|NA|NA|NA|501524
244796|1105|NA|NA|NA|NA|501524
244815|1101|28|month|NA|NA|501534
244816|1103|NA|NA|350|500|501534
244817|1104|NA|NA|NA|NA|501534
244818|1105|NA|NA|NA|NA|501534
244873|1101|2 1/2 hours|month|0|0|501622
244874|1103|0|0|0|0|501622
244875|1104|0|0|0|0|501622
244876|1105|0|0|0|0|501622
245033|1101|1800|Year|N/A|N/A|501776
245034|1103|N/A|N/A|N/A|N/A|501776
245035|1104|N/A|N/A|N/A|N/A|501776
245036|1105|N/A|N/A|N/A|N/A|501776
245301|1101|1.50-2.00|member|1.50|2.00|502001
245302|1103|n/a|n/a|n/a|n/a|502001
245303|1104|n/a|n/a|n/a|n/a|502001
245304|1105|n/a|n/a|n/a|n/a|502001
245445|1101|250-500|Quarter|250|500|502083
245446|1103|N/A|N/A|N/A|N/A|502083
245447|1104|N/A|N/A|N/A|N/A|502083
245448|1105|N/A|N/A|N/A|N/A|502083
245596|1101|0|Hour|2.15|2.25|502258
245597|1103|575|Person|0|0|502258
245598|1104|0|0|0|0|502258
245599|1105|0|0|0|0|502258
245699|1101|130|month|0|0|502327
245700|1102|0|0|0|0|502327
245701|1103|500|0|0|0|502327
245702|1104|0|0|0|0|502327
245703|1105|0|0|0|0|502327
245716|1101|69.19|month|68.69|69.19|502344
245717|1102|69.19|month|68.69|69.19|502344
245718|1103|100|one time|||502344
245719|1104|||||502344
245720|1105|||||502344
245769|1101|43|MONTH|43|43|502397
245770|1103|60|ONE TIME|60|60|502397
245771|1104|N/A|N/A|N/A|N/A|502397
245772|1105|N/A|N/A|N/A|N/A|502397
245801|1101|32.00|Month|29.30|32.00|502406
245802|1102|5.00|Week|||502406
245803|1103|100.00|Member|||502406
245804|1104|50.00|Member|||502406
245805|1105|||||502406
246013|1101|35|MO|8|35|502609
246014|1102|3%|GROSS|N/A|N/A|502609
246015|1103|500|N/A|55|500|502609
246016|1104|N/A|N/A|N/A|N/A|502609
246017|1105|25|MO|N/A|N/A|502609
246099|1101|0|MONTH|6.00|24.05|502657
246100|1103|0|N/A|N/A|N/A|502657
246101|1104|0|N/A|N/A|N/A|502657
246102|1105|0|N/A|N/A|N/A|502657
246159|1101|43|Month|43|43|502698
246160|1103|60|One Time|60|60|502698
246161|1104|N/A|N/A|N/A|N/A|502698
246162|1105|N/A|N/A|N/A|N/A|502698
246230|1101|$16.25 base|member|$16.25|$84.75|502759
246231|1102|n/a|n/a|n/a|n/a|502759
246232|1103|$25-$200|member|$25|$200|502759
246233|1104|n/a|n/a|n/a|n/a|502759
246234|1105|$7.25|month/member|$7.25|$7.25|502759
