RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
546724|945124|0|52200|0|0|38477|0|0|7750|0|29447|0|0|0|29447
576783|62275|0|0|||0|||0||2083||||
544013|37785|0|0|||156|||0||0||||
554700|68927|0|0|||235|||0||445||||
555310|101667|0|0|||788|||0||849||||
556511|3805|0|0|||52|||0||2792||||
551577|0|46536|0|||28|||0||50000||||
551247|39317|0|0|||0|||0||0||||
540510|24630|0|0|||79|||0||1576||||
557534|73392|0|0|||69|||400||13186||||
552340|209037|0|0|||5|||0||0||||
554802|36630|0|0|||6|||0||18||||
554534|30593|||||8|||||177||||
528144|12223|0|0|||1347|||43514||3508||||
542572|0|79971|0|||24|||0||20200||||
573046|36667|||||6|||||24||||
552047|28882|0|0|||0|||38295||0||||
548624|25028|0|0|||0|||0||2375||||
553727|31742||||||||||||||
554837|64986|0|0|||96|||0||350||||
541352|13235|0|0|||1|||0||0||||
559608|55636|0|0|||0|||0||130993||||
551933|0|0|0|||179|||0||14709||||
531511|0|122998|0|||8|||0||22090||||
557524|18655|0|0|||0|||260||0||||
529585|15278|0|0|||1|||0||0||||
559814|53797|0|0|||0|||0||0||||
555502|121733|0|0|||13|||0||213||||
551643|13411|0|0|||0|||220||3139||||
551162|36664|0|0|||26|||0||0||||
557081|7043|0|0|||0|||0||1050||||
550213|1650865|0|0|0|0|1442|0|0|0|0|19788|0|0||19788
534137|35172|0|0|||0|||0||0||||
549769|33326|0|0|||1|||0||90||||
557761|900|0|0|||9|||0||0||||
538673|19026|0|0|||120|||0||0||||
556601|84448|0|0|||0|||0||0||||
557401|19779|0|0|||144|||0||4058||||
683206|420|0|0|||0|||0||21436||||
548060|19446|0|0|||0|||0||242||||
533701|1879319|111532|21539|0|0|3|0|0|0||129216|1034903|0||41684
535773|24298|0|0|||78|||0||2045||||
533733|349494|0|0|0||1271|0|396000|993271||194587|0|125406||14191
536088|39906|0|0|||69|||0||1739||||
534002|105129|0|0|||991|||0||0||||
534612|644899|0|468672|1814|0|13824|18775|0|2544394|0|251507|0|0||3851
530140|0|34694|0|||0|||0||5593||||
535733|0|388238|2250|0|0|706|0|0|0|0|19769|0|0||4126
551838|0|91600|0|||1354|||0||9282||||
534264|81167|0|0|||0|||0||0||||
534349|11860|0|0|||0|||0||0||||
534212|50085|0|0|||92|||0||1238||||
536112|34277|||||51|||1700||4000||||
549624|85255|0|0|||23|||0||3601||||
547461|64753|0|0|||49|||0||8007||||
533666|0|0|0|||0|||0||22||||
551239|160425|0|0|||27|||0||923||||
551555|42031|0|23325|||7226|||0||3770||||
546415|23307|0|0|||753|||0||4387||||
545855|62770|0|0|||174|||0||1334||||
549775|89202|0|0|||14|||0||5790||||
557950|16647|0|0|||204|||0||0||||
575501|0|94085|0|||12|||0||52||||
557521|12780|0|0|||108|||9873||4834||||
552693|140842|0|0|||0|||0||9181||||
540406|93882|0|0|||480|||0||3757||||
542654|45907|0|0|||304|||0||280||||
553914|15035|0|0|||595|||0||0||||
547217|521152|0|0|0||10|0|0|0||19559|0|0||19559
548127|0|1485288|0|0|0|42|0|0|0|0|870765|0|0|0|2256
546868|0|21024|0|||0|||0||0||||
541055|20594|0|0|||9|||0||1833||||
553231|38118|0|0|||96|||0||2678||||
543041|11708||||||||||||||
550379|127772|0||0||3692|0|22530|565323||11590|35621|0||11590
547503|1914898|0||0||0|0|18800|0||105133|2043500|0||19382
552322|22837|||||33|||||624||||
541691|573352|0|0|0|0|377|0|0|0||88022|0|1650||8046
547389|9339476|0|27069|0|387|42|3000|818553|256120|0|2126348|14008|9340|0|180749
547065|59389|0|0|||3|||0||8288||||
546237|50630|0|0|||0|||0||5417||||
548809|27558|0|0|||60|||94487||0||||
543116|149118|0|0|||495|||0||18297||||
551049|25996|||||4|||||21463||||
542498|12485|0|0|||0|||0||0||||
541536|92552|0|0|||204|||311||295||||
547368|65856|0|0|||22|||0||13816||||
551455|10510|0|0|||0|||0||0||||
546615|7199|0|0|||0|||0||15719||||
539547|25966|0|0|||51|||550||6463||||
539209|72046|0|0|||8644|||0||872||||
541098|6473|0|0|||0|||0||0||||
553885|55390|0|0|||144|||425||6177||||
552847|12919|0|0|||4|||0||309||||
540205|24507|0|0|||129|||0||3095||||
539491|24439|0|0|||0|||0||29||||
550127|31764|0|0|||0|||0||2727||||
546827|83840|0|0|||67|||0||33310||||
550516|3616760|0|0|0||1505|0|0|0|25|46968|0|0||7144
557755|133449|0|39387|||0|||0||0||||
541245|444953|0||0||0|0|0|0|0|57089|0|0||33
542275|11787|0|0|||0|||0||1310||||
541810|49636|0|0|||0|||450||6173||||
546238|18571|0|0|||375|||0||339||||
547568|1799931|0||0|12651|48846|0|0|0||119465|0|0||24166
538248|10475|0|0|||0|||0||460||||
538600|11851|0|0|||10|||0||0||||
543011|24706|0|0|||194|||0||4614||||
539471|23082|0|0|||17|||0||1116||||
547639|140339|0|0|||11|||0||34503||||
553577|118513|0|0|||368|||15||25405||||
544008|0|29446|0|||0|||0||0||||
543697|17026|||||56|||||354||||
552297|100627|0|0|||0|||0||3573||||
551465|192994|56482|0|0|0|1773|0|0|0|0|0|0|68903||
553770|0|16020|0|||864|||0||2335||||
553615|0|26593|0|||99|||0||19506||||
540961|0|17696|0|||0|||0||601||||
546331|13843|||||3862|||||29||||
553629|124059|0|0|||67|||0||965||||
543385|0|36300|0|||0|||0||73||||
546580|15189|0|0|||1067|||20||0||||
549153|0|19534|0|||4|||0||100||||
548429|0|18444|0|||6|||0||4850||||
541285|0|46633|0|||0|||0||1656||||
