OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
417510|1201|Credit Card Royalties|2014-02-06|15285|1492749|556928
435321|1201|Ad|2014-11-11|5492|1552899|581638
435791|1201|  |||1554526|582357
436753|1201| |||1557674|582927
436754|1201|   |||1557674|582927
440698|1201|0|2014-12-31|0|1567418|583717
419186|1201|GRANT|2013-04-23|33333|1498690|557717
419187|1201|GRANT|2013-05-28|33333|1498690|557717
419188|1201|GRANT|2013-06-24|33333|1498690|557717
442626|1201|RENT|2014-12-31|11104|1575192|584252
419189|1201|GRANT|2013-07-26|33333|1498690|557717
419190|1201|GRANT|2013-08-27|33333|1498690|557717
442627|1201|RENT|2014-12-31|11105|1575193|584252
419191|1201|GRANT|2013-10-28|33333|1498690|557717
442701|1201|MPO |2014-10-31|28840|1575460|584282
442702|1201|MPO|2014-11-13|6300|1575460|584282
419192|1201|GRANT|2013-11-26|30000|1498690|557717
443499|1201|Loan|2014-07-22|5744|1579855|584952
419193|1201|GRANT|2013-12-27|66667|1498690|557717
419194|1201|GRANT|2014-02-25|33333|1498690|557717
419195|1201|GRANT|2014-03-26|66667|1498690|557717
419426|1201|Grant|2013-06-28|125000|1499292|557839
419427|1201|Grant|2013-09-13|125000|1499292|557839
419428|1201|Grant|2013-12-17|125000|1499292|557839
421827|1201|grant|2013-06-03|15000|1504771|559896
421828|1201|grant|2013-07-01|15000|1504771|559896
421829|1201|grant|2013-08-02|15000|1504771|559896
421830|1201|grant|2013-09-04|15000|1504771|559896
421831|1201|grant|2013-10-01|15000|1504771|559896
421832|1201|grant|2013-11-05|15000|1504771|559896
421833|1201|grant|2013-12-03|15000|1504771|559896
421834|1201|grant|2014-01-27|14000|1504771|559896
421835|1201|grant|2014-02-27|14000|1504771|559896
421836|1201|grant|2014-04-01|14000|1504771|559896
421837|1201|grant|2014-05-07|14000|1504771|559896
421838|1201|grant|2014-02-12|23000|1504771|559896
421922|1201|GRANT|2013-12-22|8000|1505006|560325
421923|1201|GRANT|2014-01-20|8000|1505006|560325
421924|1201|GRANT|2014-02-21|8000|1505006|560325
421925|1201|GRANT|2013-11-20|8000|1505006|560325
422711|1201|SAME.|2013-08-05|16000|1507987|561156
422712|1201|SAME.|2013-10-01|16000|1507987|561156
422713|1201|SAME.|2013-10-10|16000|1507987|561156
422714|1201|SAME.|2013-11-07|16000|1507987|561156
422715|1201|SAME.|2013-12-04|16000|1507987|561156
422716|1201|SAME.|2014-01-06|16000|1507987|561156
389798|1201|Organizing Subsidy|2013-07-01|8500|1394368|535445
422717|1201|SAME.|2014-02-14|15000|1507987|561156
422718|1201|SAME.|2014-04-07|90000|1507987|561156
422761|1201|SAME.|2013-08-22|3242|1508073|561213
423350|1201|Grant|2014-01-14|5200|1510449|561869
392099|1201|Reimbursement|2013-08-07|7781|1404758|536790
423412|1201|Grant|2013-11-01|72890|1510500|561873
423413|1201|Grant|2014-04-01|166746|1510500|561873
423414|1201|Grant|2014-04-15|166746|1510500|561873
423449|1201|Grant|2013-09-20|54853|1510664|561931
