OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
27551|SOUTHWESTERN GROUP|100000|0|100000|0|0|627297
25034|Ironworkers Local #340|207558|0|0|207558|0|599515
27150|None|0|0|0|0|0|617425
27149|N/A|0|0|0|0|0|616801
27167|Auto Loan Payable|0|128082|0|128082|0|618343
27222|SunTrust Line of Credit|2399652|302161|197994||2503819|620824
27223|EASTERN BANK - MORTGAGE|308416|0|9982||298434|620829
27226|NONE|0|0|0|0|0|621403
27231|COMERICA BANK|961220|0|130222|0|830998|621794
27234|NONE|0|0|0|0|0|621842
27237|None|0|0|0|0|0|622001
27238|DC 33 LEGAL SERVICES PLAN|122544|0|0|0|122544|622016
27244|GMAC - 2011 CHEVROLET IMPALA|2619|0|2619|0|0|622124
27246|OHWBST|100000|100000|100000||100000|622209
27247|FORD MOTOR CORP |93841|0|26856||66985|622259
27248|Ford Credit - Automobile|2044||2044||0|622320
27249|NONE|0|0|0|0|0|622437
27250|155 WEST 46 OWNER LLC|4083985|0|73142|0|4010843|622459
27251|M&T Bank|645294|0|100565|0|544729|622474
27255|Northeastern Engineers Federal Credit Union|241911|0|15097|0|226814|623802
27256|Chase Bank|28611|0|28611|0|0|623802
27257|Chase Bank|28055|0|28055|0|0|623802
27260|OPEIU International union|28750|0|15000|0|13750|624053
27261|POWERNET BANK - AUTO LOAN|2756|0|2756|0|0|624127
27263|First State Bank|0|15178|4471||10707|624198
27264|FORD CREDIT|9291|0|1941|0|7350|624268
27265|FORD CREDIT|0|10001|1466|0|8535|624268
27266|HERGET BANK|67715|0|14814|0|52901|624275
27267|FORD MOTOR CREDIT|72355|0|17160|0|55195|624275
27268|MORTON COMM BANK|25333|0|4899|0|20434|624275
27269|AUTOSERV OF TILTON NH|21029|0|21029|0|0|624285
27270|Mortgage loan|638695|0|30836|0|607859|624325
27277|Note Payable Vehicle|33261|0|5460||27801|624752
27280|CHASE BANK|944154|0|114664||829490|624864
27281|PITNEY BOWES|2681|0|1787||894|624864
27282|NONE|0|0|0|0|0|624902
27283|FIRST BANK AND TRUST|18623|111186|52510||77299|625003
27284|ALLY|4538|0|0|4538|0|625049
27285|ALLY|28530|0|0|28530|0|625049
