OID|DESCRIPTION|AMOUNT|RPT_ID
123222|PAYROLL LIABILITIES|5656|667115
123224|DUE TO OTHER LOCALS - TRAVELERS' WORK ASSESSMENT|3197|667115
123223|DUE TO RELATED FUNDS|2955|667115
125984|Payroll Liabilities|357|671945
119490|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|1523|654377
119491|DUE TO AFFILIATES FOR TRANSMITTAL TO THEM|201424|654377
119521|Death Benefits Payable|127958|654644
119523|Credit Card Payable|6751|654644
119522|PAC Funds Payable|96475|654644
120523|Payroll deductions and related accruals|4846|656470
120394|PAYROLL TAXES WITHHELD|5461|656310
123242|PAYROLL LIABILITIES|1369|667135
122878|payroll liabilities|3789|666307
122879|accrued vacation leave|5520|666307
126049|Payroll Tax Withholdings|643|672009
122928|Due to IUPAT PATCH|182|666439
122927|Accrued payroll and related expenses|51470|666439
123203|State Tax|627|667078
124575|Payroll withholding deductions|23420|669672
124577|Accrued PerCapita payable - International Office|1306671|669672
124576|Accrued rebates due affiliated locals|2221|669672
126385|TIP CONTRIBUTION LIABILITY|77|672658
126727|Federal Unemployment Tax|12|675803
126726|State Taxes Fwdwd|114|675803
126725|Federal Payroll Taxes Paid & Fwded|6817|675803
141177|ACCRUED POST RETIREMENT BENEFIT|6697024|727039
141186|OTHER PAYABLES|63386|727039
141185|INTEREST PAYABLE|6598|727039
141184|EMPLOYEE TAXES|14443|727039
141183|PEOPLE/MEMBER CONTACT PROGRAM PAYABLE|10752|727039
141182|RENTAL DEPOSITS|4162|727039
141181|MEDICAL/INSURANCE PAYABLE|37814|727039
141180|PAYROLL DEDUCTION PAYABLE|32871|727039
141179|AFSCME PER CAPITA |154033|727039
141178|ACCRUED VACATION AND SICK LEAVE|1836629|727039
121677|ACCRUED VACATION & SEVERANCE|47369|659014
121681|UNIT FUNDS|2782|659014
121680|UNION CREDIT CARD|13117|659014
121679|PAYROLL LIABILITIES|5611|659014
121678|DEFERRED INCOME (DUES PAID IN ADVANCE)|92034|659014
121223|Employee benefits|41715|657539
121606|Payroll Taxes Payable|6775|658917
121413|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|1683|658307
121890|Accrued Payroll Taxes|2272|660450
122188|Federal tax forward 941|91|663557
